## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4338e-01  -1.9552e+00   5.2944e-02   4.2805e-03   3.7586e+04   5.9731e+04
  2.4037e-01   2.5725e-01  -1.3704e+00   5.4020e-02   2.2791e-03   1.1970e+05   1.9021e+05
  4.3133e-01   4.6115e-01  -7.8624e-01   5.0471e-02   1.2301e-03   3.8548e+05   6.1257e+05
  7.7400e-01   8.2660e-01  -2.0191e-01   5.3039e-02   7.3826e-04   1.2414e+06   1.9727e+06
  1.3889e+00   1.4845e+00   3.8413e-01   5.2536e-02   5.9876e-04   4.0135e+06   6.3779e+06
  2.4922e+00   2.6675e+00   9.7040e-01   5.3071e-02   3.8472e-04   1.2976e+07   2.0620e+07
  4.4721e+00   4.7910e+00   1.5559e+00   5.2735e-02   2.6721e-04   4.1833e+07   6.6476e+07
  8.0249e+00   8.6009e+00   2.1409e+00   5.2693e-02   2.0817e-04   1.3475e+08   2.1414e+08
  1.4400e+01   1.5440e+01   2.7258e+00   5.2780e-02   1.8587e-04   4.3380e+08   6.8935e+08
  2.5840e+01   2.7711e+01   3.3104e+00   5.2830e-02   1.7653e-04   1.3950e+09   2.2168e+09
  4.6368e+01   4.9721e+01   3.8948e+00   5.2802e-02   1.4543e-04   4.4711e+09   7.1050e+09
  8.3204e+01   8.9190e+01   4.4789e+00   5.2805e-02   1.4999e-04   1.4244e+10   2.2635e+10
  1.4930e+02   1.5994e+02   5.0629e+00   5.2824e-02   1.5119e-04   4.4891e+10   7.1336e+10
