## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4331e-01  -1.9555e+00   5.3250e-02   6.0588e-04   3.8531e+06   6.1230e+06
  2.4037e-01   2.5698e-01  -1.3712e+00   5.2865e-02   2.3236e-04   1.2373e+07   1.9662e+07
  4.3133e-01   4.6099e-01  -7.8624e-01   5.2552e-02   2.3761e-04   3.9839e+07   6.3308e+07
  7.7400e-01   8.2778e-01  -2.0047e-01   5.2836e-02   1.3369e-04   1.2867e+08   2.0447e+08
  1.3889e+00   1.4870e+00   3.8537e-01   5.2855e-02   1.5881e-04   4.1527e+08   6.5991e+08
  2.4922e+00   2.6700e+00   9.7057e-01   5.2819e-02   1.5583e-04   1.3375e+09   2.1255e+09
  4.4721e+00   4.7920e+00   1.5554e+00   5.2792e-02   1.6220e-04   4.3046e+09   6.8405e+09
  8.0249e+00   8.6007e+00   2.1402e+00   5.2812e-02   1.4777e-04   1.3846e+10   2.2003e+10
  1.4400e+01   1.5435e+01   2.7249e+00   5.2803e-02   1.4791e-04   4.4487e+10   7.0694e+10
  2.5840e+01   2.7699e+01   3.3096e+00   5.2800e-02   1.4168e-04   1.4261e+11   2.2662e+11
  4.6368e+01   4.9703e+01   3.8942e+00   5.2803e-02   1.4084e-04   4.5590e+11   7.2447e+11
  8.3204e+01   8.9145e+01   4.4784e+00   5.2805e-02   1.4559e-04   1.4485e+12   2.3018e+12
  1.4930e+02   1.5993e+02   5.0627e+00   5.2780e-02   1.3504e-04   4.5620e+12   7.2495e+12
