## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4522e-01  -1.9426e+00  -5.2554e-02   3.7001e-02   8.3578e+02   1.3330e+03
  2.4037e-01   2.5845e-01  -1.3657e+00   6.6567e-02   4.2293e-02   3.2519e+03   5.1880e+03
  4.3133e-01   4.6098e-01  -7.8735e-01   6.8091e-02   5.4307e-02   9.8780e+03   1.5760e+04
  7.7400e-01   8.3042e-01  -1.9858e-01   8.7120e-02   5.3004e-02   3.1409e+04   5.0113e+04
  1.3889e+00   1.4862e+00   3.8370e-01   5.1139e-02   5.0975e-02   1.0620e+05   1.6944e+05
  2.4922e+00   2.6629e+00   9.6747e-01   4.6505e-02   5.2405e-02   3.4512e+05   5.5061e+05
  4.4721e+00   4.7809e+00   1.5532e+00   4.6703e-02   5.1089e-02   1.1097e+06   1.7704e+06
  8.0249e+00   8.5890e+00   2.1391e+00   4.8400e-02   5.1632e-02   3.5750e+06   5.7037e+06
  1.4400e+01   1.5424e+01   2.7245e+00   4.8881e-02   5.1385e-02   1.1490e+07   1.8332e+07
  2.5840e+01   2.7683e+01   3.3093e+00   4.9993e-02   5.1073e-02   3.6853e+07   5.8799e+07
  4.6368e+01   4.9662e+01   3.8936e+00   5.1660e-02   5.0758e-02   1.1737e+08   1.8727e+08
  8.3204e+01   8.9059e+01   4.4775e+00   5.5250e-02   5.0053e-02   3.6804e+08   5.8726e+08
  1.4930e+02   1.5969e+02   5.0613e+00   6.1984e-02   4.8706e-02   1.1307e+09   1.8043e+09
