## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9553e+00   1.8120e-01   9.0727e-04   2.5786e+04   9.7886e+04
  2.4037e-01   2.5691e-01  -1.3716e+00   1.7865e-01   5.1489e-04   8.2160e+04   3.1189e+05
  4.3133e-01   4.6054e-01  -7.8736e-01   1.7855e-01   3.5997e-04   2.5955e+05   9.8533e+05
  7.7400e-01   8.2617e-01  -2.0233e-01   1.7889e-01   1.9698e-04   8.2042e+05   3.1145e+06
  1.3889e+00   1.4840e+00   3.8377e-01   1.7863e-01   9.3443e-05   2.5908e+06   9.8355e+06
  2.4922e+00   2.6663e+00   9.6985e-01   1.7888e-01   8.2752e-05   8.1846e+06   3.1071e+07
  4.4721e+00   4.7888e+00   1.5554e+00   1.7888e-01   7.0938e-05   2.5946e+07   9.8497e+07
  8.0249e+00   8.5986e+00   2.1405e+00   1.7885e-01   5.0787e-05   8.2536e+07   3.1333e+08
  1.4400e+01   1.5431e+01   2.7250e+00   1.7887e-01   6.1012e-05   2.6245e+08   9.9634e+08
  2.5840e+01   2.7697e+01   3.3097e+00   1.7885e-01   5.5356e-05   8.3430e+08   3.1672e+09
  4.6368e+01   4.9692e+01   3.8940e+00   1.7886e-01   5.6097e-05   2.6434e+09   1.0035e+10
  8.3204e+01   8.9131e+01   4.4782e+00   1.7885e-01   5.1119e-05   8.3301e+09   3.1623e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7886e-01   5.0886e-05   2.5869e+10   9.8207e+10
