## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4430e-01  -1.9485e+00  -5.0217e-06   5.9351e-03   6.5512e+02   2.4950e+03
  2.4037e-01   2.5671e-01  -1.3728e+00   4.3401e-03   3.1084e-03   2.1394e+03   8.1430e+03
  4.3133e-01   4.6093e-01  -7.8736e-01   3.7901e-03   1.4923e-03   6.4758e+03   2.4647e+04
  7.7400e-01   8.2778e-01  -2.0150e-01   2.8400e-03   1.0835e-03   2.0188e+04   7.6821e+04
  1.3889e+00   1.4835e+00   3.8211e-01   1.4404e-03   4.9454e-04   6.3827e+04   2.4290e+05
  2.4922e+00   2.6638e+00   9.6789e-01   7.3127e-04   3.7252e-04   2.0261e+05   7.7104e+05
  4.4721e+00   4.7819e+00   1.5533e+00   5.1355e-04   3.0457e-04   6.4560e+05   2.4569e+06
  8.0249e+00   8.5875e+00   2.1388e+00   5.7769e-06   1.4552e-04   2.0594e+06   7.8374e+06
  1.4400e+01   1.5420e+01   2.7240e+00   2.4396e-04   1.7605e-04   6.5616e+06   2.4971e+07
  2.5840e+01   2.7672e+01   3.3088e+00   1.2180e-04   1.3920e-04   2.0870e+07   7.9425e+07
  4.6368e+01   4.9659e+01   3.8934e+00   8.6241e-05   9.0481e-05   6.6167e+07   2.5181e+08
  8.3204e+01   8.9084e+01   4.4777e+00   1.9433e-06   6.3512e-05   2.0840e+08   7.9310e+08
  1.4930e+02   1.5977e+02   5.0618e+00   8.2233e-06   5.1039e-05   6.4732e+08   2.4635e+09
