## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9553e+00   1.7487e-01   9.7694e-04   2.5457e+04   9.6886e+04
  2.4037e-01   2.5689e-01  -1.3717e+00   1.7650e-01   1.0917e-03   8.1672e+04   3.1083e+05
  4.3133e-01   4.6058e-01  -7.8735e-01   1.7677e-01   9.1859e-04   2.5853e+05   9.8390e+05
  7.7400e-01   8.2596e-01  -2.0267e-01   1.7661e-01   9.6288e-04   8.1685e+05   3.1087e+06
  1.3889e+00   1.4837e+00   3.8350e-01   1.7642e-01   9.0792e-04   2.5810e+06   9.8227e+06
  2.4922e+00   2.6657e+00   9.6959e-01   1.7650e-01   9.0249e-04   8.1507e+06   3.1019e+07
  4.4721e+00   4.7884e+00   1.5553e+00   1.7655e-01   8.5858e-04   2.5825e+07   9.8283e+07
  8.0249e+00   8.5984e+00   2.1404e+00   1.7654e-01   8.6945e-04   8.2145e+07   3.1262e+08
  1.4400e+01   1.5430e+01   2.7250e+00   1.7660e-01   8.6839e-04   2.6117e+08   9.9394e+08
  2.5840e+01   2.7696e+01   3.3096e+00   1.7661e-01   8.7117e-04   8.3002e+08   3.1588e+09
  4.6368e+01   4.9687e+01   3.8939e+00   1.7657e-01   8.7172e-04   2.6295e+09   1.0007e+10
  8.3204e+01   8.9126e+01   4.4781e+00   1.7651e-01   8.6411e-04   8.2887e+09   3.1544e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7652e-01   8.5012e-04   2.5744e+10   9.7974e+10
