## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4331e-01  -1.9555e+00   1.4123e+00   0.0000e+00   5.2764e-02   1.7939e+06
  2.4037e-01   2.5689e-01  -1.3716e+00   1.4123e+00   0.0000e+00   1.6806e-01   5.7138e+06
  4.3133e-01   4.6058e-01  -7.8726e-01   1.4123e+00   2.4395e-14   5.3252e-01   1.8105e+07
  7.7400e-01   8.2674e-01  -2.0179e-01   1.4123e+00   1.2079e-13   1.6827e+00   5.7209e+07
  1.3889e+00   1.4851e+00   3.8409e-01   1.4123e+00   1.9432e-13   5.3092e+00   1.8051e+08
  2.4922e+00   2.6674e+00   9.6965e-01   1.4123e+00   1.3281e-12   1.6745e+01   5.6930e+08
  4.4721e+00   4.7895e+00   1.5548e+00   1.4123e+00   1.2401e-11   5.3054e+01   1.8038e+09
  8.0249e+00   8.5971e+00   2.1397e+00   1.4123e+00   2.1299e-10   1.6869e+02   5.7352e+09
  1.4400e+01   1.5428e+01   2.7244e+00   1.4123e+00   8.4200e-10   5.3668e+02   1.8246e+10
  2.5840e+01   2.7684e+01   3.3090e+00   1.4123e+00   1.2718e-09   1.7050e+03   5.7967e+10
  4.6368e+01   4.9681e+01   3.8937e+00   1.4123e+00   1.7081e-09   5.4083e+03   1.8387e+11
  8.3204e+01   8.9127e+01   4.4781e+00   1.4123e+00   2.0721e-09   1.7046e+04   5.7955e+11
  1.4930e+02   1.5978e+02   5.0618e+00   1.4123e+00   2.1562e-09   5.2908e+04   1.7988e+12
