## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4422e-01  -1.9488e+00   5.0364e-01   0.0000e+00   3.8502e-05   1.3090e+03
  2.4037e-01   2.5674e-01  -1.3727e+00   5.0364e-01   7.8260e-12   1.2898e-04   4.3850e+03
  4.3133e-01   4.6118e-01  -7.8681e-01   5.0364e-01   3.0970e-12   3.9105e-04   1.3295e+04
  7.7400e-01   8.2793e-01  -2.0138e-01   5.0364e-01   4.8143e-12   1.2293e-03   4.1793e+04
  1.3889e+00   1.4832e+00   3.8182e-01   5.0364e-01   4.3296e-12   3.8686e-03   1.3153e+05
  2.4922e+00   2.6642e+00   9.6795e-01   5.0364e-01   6.4908e-12   1.2272e-02   4.1722e+05
  4.4721e+00   4.7805e+00   1.5530e+00   5.0364e-01   6.4058e-12   3.9093e-02   1.3291e+06
  8.0249e+00   8.5850e+00   2.1385e+00   5.0364e-01   7.8059e-12   1.2468e-01   4.2389e+06
  1.4400e+01   1.5417e+01   2.7239e+00   5.0364e-01   7.7484e-12   3.9757e-01   1.3517e+07
  2.5840e+01   2.7672e+01   3.3087e+00   5.0364e-01   5.0372e-11   1.2648e+00   4.3000e+07
  4.6368e+01   4.9658e+01   3.8934e+00   5.0364e-01   3.0122e-10   4.0097e+00   1.3632e+08
  8.3204e+01   8.9074e+01   4.4776e+00   5.0364e-01   7.1358e-10   1.2622e+01   4.2913e+08
  1.4930e+02   1.5976e+02   5.0617e+00   5.0364e-01   5.8512e-10   3.9224e+01   1.3336e+09
