## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9552e+00   1.8250e-01   9.1087e-04   6.7969e+03   9.7888e+04
  2.4037e-01   2.5694e-01  -1.3715e+00   1.7992e-01   5.1900e-04   2.1667e+04   3.1204e+05
  4.3133e-01   4.6060e-01  -7.8725e-01   1.7983e-01   3.6438e-04   6.8433e+04   9.8564e+05
  7.7400e-01   8.2624e-01  -2.0227e-01   1.8016e-01   1.9724e-04   2.1626e+05   3.1148e+06
  1.3889e+00   1.4839e+00   3.8375e-01   1.7985e-01   9.4135e-05   6.8279e+05   9.8344e+06
  2.4922e+00   2.6663e+00   9.6983e-01   1.8012e-01   8.1856e-05   2.1572e+06   3.1071e+07
  4.4721e+00   4.7888e+00   1.5554e+00   1.8012e-01   7.2797e-05   6.8389e+06   9.8500e+07
  8.0249e+00   8.5986e+00   2.1405e+00   1.8009e-01   5.2159e-05   2.1754e+07   3.1333e+08
  1.4400e+01   1.5431e+01   2.7250e+00   1.8012e-01   6.1237e-05   6.9176e+07   9.9634e+08
  2.5840e+01   2.7697e+01   3.3097e+00   1.8010e-01   5.5622e-05   2.1990e+08   3.1672e+09
  4.6368e+01   4.9692e+01   3.8940e+00   1.8010e-01   5.6397e-05   6.9673e+08   1.0035e+10
  8.3204e+01   8.9131e+01   4.4782e+00   1.8010e-01   5.1557e-05   2.1956e+09   3.1623e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.8010e-01   5.1310e-05   6.8185e+09   9.8207e+10
