## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9553e+00   1.7607e-01   9.7296e-04   6.6923e+03   9.6887e+04
  2.4037e-01   2.5689e-01  -1.3717e+00   1.7770e-01   1.1001e-03   2.1471e+04   3.1084e+05
  4.3133e-01   4.6059e-01  -7.8734e-01   1.7797e-01   9.2610e-04   6.7968e+04   9.8390e+05
  7.7400e-01   8.2597e-01  -2.0266e-01   1.7781e-01   9.7149e-04   2.1475e+05   3.1088e+06
  1.3889e+00   1.4837e+00   3.8351e-01   1.7763e-01   9.1556e-04   6.7853e+05   9.8229e+06
  2.4922e+00   2.6657e+00   9.6959e-01   1.7770e-01   9.1013e-04   2.1427e+06   3.1019e+07
  4.4721e+00   4.7884e+00   1.5553e+00   1.7775e-01   8.6701e-04   6.7892e+06   9.8283e+07
  8.0249e+00   8.5985e+00   2.1404e+00   1.7774e-01   8.7696e-04   2.1596e+07   3.1263e+08
  1.4400e+01   1.5430e+01   2.7250e+00   1.7780e-01   8.7659e-04   6.8659e+07   9.9393e+08
  2.5840e+01   2.7696e+01   3.3096e+00   1.7781e-01   8.7858e-04   2.1821e+08   3.1588e+09
  4.6368e+01   4.9687e+01   3.8939e+00   1.7777e-01   8.7897e-04   6.9128e+08   1.0007e+10
  8.3204e+01   8.9126e+01   4.4781e+00   1.7771e-01   8.7197e-04   2.1791e+09   3.1545e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7772e-01   8.5803e-04   6.7680e+09   9.7971e+10
