## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4328e-01  -1.9557e+00   1.8018e-01   1.3603e-04   2.7076e+05   3.8997e+06
  2.4037e-01   2.5687e-01  -1.3715e+00   1.7991e-01   8.2838e-05   8.6237e+05   1.2420e+07
  4.3133e-01   4.6068e-01  -7.8691e-01   1.8009e-01   9.3174e-05   2.7356e+06   3.9400e+07
  7.7400e-01   8.2717e-01  -2.0127e-01   1.8011e-01   5.9059e-05   8.6458e+06   1.2452e+08
  1.3889e+00   1.4856e+00   3.8433e-01   1.8012e-01   4.5188e-05   2.7252e+07   3.9251e+08
  2.4922e+00   2.6678e+00   9.6971e-01   1.8011e-01   4.9371e-05   8.5940e+07   1.2378e+09
  4.4721e+00   4.7894e+00   1.5548e+00   1.8011e-01   5.1249e-05   2.7219e+08   3.9204e+09
  8.0249e+00   8.5976e+00   2.1398e+00   1.8011e-01   4.7509e-05   8.6581e+08   1.2470e+10
  1.4400e+01   1.5428e+01   2.7244e+00   1.8011e-01   4.7205e-05   2.7540e+09   3.9666e+10
  2.5840e+01   2.7687e+01   3.3091e+00   1.8011e-01   4.6861e-05   8.7502e+09   1.2603e+11
  4.6368e+01   4.9682e+01   3.8937e+00   1.8011e-01   4.6370e-05   2.7744e+10   3.9959e+11
  8.3204e+01   8.9128e+01   4.4781e+00   1.8010e-01   4.5947e-05   8.7467e+10   1.2598e+12
  1.4930e+02   1.5978e+02   5.0617e+00   1.8009e-01   4.6175e-05   2.7142e+11   3.9093e+12
