## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4432e-01  -1.9483e+00   1.7626e-01   6.5105e-03   1.7203e+02   2.4940e+03
  2.4037e-01   2.5672e-01  -1.3728e+00   1.8198e-01   3.1194e-03   5.6251e+02   8.1450e+03
  4.3133e-01   4.6096e-01  -7.8729e-01   1.8182e-01   1.9657e-03   1.7024e+03   2.4648e+04
  7.7400e-01   8.2782e-01  -2.0146e-01   1.8062e-01   1.2050e-03   5.3086e+03   7.6826e+04
  1.3889e+00   1.4835e+00   3.8210e-01   1.7907e-01   1.0191e-03   1.6779e+04   2.4290e+05
  2.4922e+00   2.6638e+00   9.6789e-01   1.7845e-01   8.8919e-04   5.3269e+04   7.7109e+05
  4.4721e+00   4.7821e+00   1.5533e+00   1.7824e-01   9.1571e-04   1.6975e+05   2.4572e+06
  8.0249e+00   8.5877e+00   2.1388e+00   1.7776e-01   8.8381e-04   5.4143e+05   7.8377e+06
  1.4400e+01   1.5420e+01   2.7240e+00   1.7803e-01   8.7879e-04   1.7250e+06   2.4970e+07
  2.5840e+01   2.7672e+01   3.3088e+00   1.7792e-01   8.6375e-04   5.4869e+06   7.9426e+07
  4.6368e+01   4.9659e+01   3.8934e+00   1.7785e-01   8.7320e-04   1.7395e+07   2.5181e+08
  8.3204e+01   8.9083e+01   4.4777e+00   1.7771e-01   8.5634e-04   5.4785e+07   7.9307e+08
  1.4930e+02   1.5977e+02   5.0618e+00   1.7772e-01   8.4613e-04   1.7018e+08   2.4635e+09
