## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4341e-01  -1.9549e+00   7.4471e-02   2.0960e-03   1.9250e+04   9.7986e+04
  2.4037e-01   2.5703e-01  -1.3712e+00   7.1638e-02   1.3460e-03   6.1348e+04   3.1233e+05
  4.3133e-01   4.6089e-01  -7.8677e-01   7.0407e-02   9.1365e-04   1.9389e+05   9.8684e+05
  7.7400e-01   8.2652e-01  -2.0211e-01   6.9744e-02   7.6725e-04   6.1222e+05   3.1163e+06
  1.3889e+00   1.4839e+00   3.8362e-01   6.9389e-02   3.5936e-04   1.9309e+06   9.8302e+06
  2.4922e+00   2.6660e+00   9.6972e-01   6.9203e-02   3.2574e-04   6.1022e+06   3.1069e+07
  4.4721e+00   4.7888e+00   1.5554e+00   6.9402e-02   2.0262e-04   1.9346e+07   9.8506e+07
  8.0249e+00   8.5986e+00   2.1405e+00   6.9462e-02   2.4558e-04   6.1541e+07   3.1334e+08
  1.4400e+01   1.5431e+01   2.7250e+00   6.9471e-02   2.3890e-04   1.9568e+08   9.9632e+08
  2.5840e+01   2.7696e+01   3.3097e+00   6.9391e-02   2.2301e-04   6.2207e+08   3.1672e+09
  4.6368e+01   4.9692e+01   3.8940e+00   6.9397e-02   2.0790e-04   1.9710e+09   1.0035e+10
  8.3204e+01   8.9131e+01   4.4782e+00   6.9384e-02   1.8469e-04   6.2109e+09   3.1623e+10
  1.4930e+02   1.5981e+02   5.0620e+00   6.9394e-02   1.8433e-04   1.9288e+10   9.8207e+10
