## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9553e+00   2.7817e-03   4.6390e-03   1.8656e+04   9.6891e+04
  2.4037e-01   2.5692e-01  -1.3716e+00   5.3118e-03   4.6370e-03   5.9846e+04   3.1086e+05
  4.3133e-01   4.6056e-01  -7.8740e-01   5.3369e-03   2.9698e-03   1.8936e+05   9.8391e+05
  7.7400e-01   8.2595e-01  -2.0269e-01   4.7646e-03   3.1396e-03   5.9839e+05   3.1089e+06
  1.3889e+00   1.4836e+00   3.8346e-01   4.5630e-03   2.9330e-03   1.8907e+06   9.8216e+06
  2.4922e+00   2.6657e+00   9.6957e-01   4.6627e-03   3.0125e-03   5.9703e+06   3.1018e+07
  4.4721e+00   4.7884e+00   1.5553e+00   5.0050e-03   2.8807e-03   1.8919e+07   9.8286e+07
  8.0249e+00   8.5987e+00   2.1405e+00   5.0783e-03   2.9766e-03   6.0179e+07   3.1264e+08
  1.4400e+01   1.5431e+01   2.7249e+00   5.2895e-03   2.9170e-03   1.9132e+08   9.9394e+08
  2.5840e+01   2.7695e+01   3.3096e+00   5.3382e-03   2.9080e-03   6.0798e+08   3.1586e+09
  4.6368e+01   4.9686e+01   3.8939e+00   5.3829e-03   2.8418e-03   1.9261e+09   1.0007e+10
  8.3204e+01   8.9126e+01   4.4781e+00   5.4514e-03   2.9001e-03   6.0716e+09   3.1545e+10
  1.4930e+02   1.5981e+02   5.0620e+00   5.6850e-03   2.8072e-03   1.8855e+10   9.7971e+10
