## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4330e-01  -1.9556e+00   6.8629e-02   6.8362e-04   7.6625e+05   3.9012e+06
  2.4037e-01   2.5693e-01  -1.3714e+00   6.9780e-02   3.1609e-04   2.4411e+06   1.2427e+07
  4.3133e-01   4.6078e-01  -7.8677e-01   6.9660e-02   2.0495e-04   7.7429e+06   3.9417e+07
  7.7400e-01   8.2726e-01  -2.0123e-01   6.9406e-02   1.8751e-04   2.4462e+07   1.2454e+08
  1.3889e+00   1.4857e+00   3.8432e-01   6.9368e-02   1.9345e-04   7.7094e+07   3.9251e+08
  2.4922e+00   2.6678e+00   9.6966e-01   6.9392e-02   1.8258e-04   2.4309e+08   1.2377e+09
  4.4721e+00   4.7893e+00   1.5548e+00   6.9393e-02   2.0892e-04   7.6999e+08   3.9205e+09
  8.0249e+00   8.5976e+00   2.1398e+00   6.9392e-02   1.9782e-04   2.4492e+09   1.2470e+10
  1.4400e+01   1.5428e+01   2.7244e+00   6.9405e-02   1.9766e-04   7.7905e+09   3.9665e+10
  2.5840e+01   2.7687e+01   3.3091e+00   6.9378e-02   1.9487e-04   2.4753e+10   1.2603e+11
  4.6368e+01   4.9682e+01   3.8937e+00   6.9395e-02   1.9094e-04   7.8482e+10   3.9959e+11
  8.3204e+01   8.9128e+01   4.4781e+00   6.9408e-02   1.8327e-04   2.4743e+11   1.2598e+12
  1.4930e+02   1.5978e+02   5.0617e+00   6.9416e-02   1.7532e-04   7.6780e+11   3.9092e+12
