## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9553e+00   6.6236e-01   3.0953e-03   2.5796e+04   9.7891e+04
  2.4037e-01   2.5689e-01  -1.3716e+00   6.6089e-01   2.2798e-03   8.2185e+04   3.1188e+05
  4.3133e-01   4.6055e-01  -7.8733e-01   6.5833e-01   1.3177e-03   2.5965e+05   9.8536e+05
  7.7400e-01   8.2617e-01  -2.0233e-01   6.5839e-01   5.3832e-04   8.2069e+05   3.1145e+06
  1.3889e+00   1.4840e+00   3.8378e-01   6.5793e-01   4.0895e-04   2.5919e+06   9.8362e+06
  2.4922e+00   2.6664e+00   9.6987e-01   6.5818e-01   3.6820e-04   8.1879e+06   3.1073e+07
  4.4721e+00   4.7888e+00   1.5554e+00   6.5829e-01   1.8343e-04   2.5955e+07   9.8498e+07
  8.0249e+00   8.5986e+00   2.1405e+00   6.5836e-01   3.0642e-04   8.2568e+07   3.1334e+08
  1.4400e+01   1.5431e+01   2.7251e+00   6.5830e-01   2.9391e-04   2.6256e+08   9.9639e+08
  2.5840e+01   2.7697e+01   3.3097e+00   6.5819e-01   2.7640e-04   8.3458e+08   3.1672e+09
  4.6368e+01   4.9692e+01   3.8940e+00   6.5821e-01   2.7279e-04   2.6443e+09   1.0035e+10
  8.3204e+01   8.9130e+01   4.4782e+00   6.5816e-01   2.4548e-04   8.3329e+09   3.1623e+10
  1.4930e+02   1.5981e+02   5.0620e+00   6.5820e-01   2.4623e-04   2.5878e+10   9.8207e+10
