## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4432e-01  -1.9483e+00   1.0171e-03   2.2870e-02   6.5590e+02   2.4970e+03
  2.4037e-01   2.5673e-01  -1.3727e+00   1.8219e-02   1.1646e-02   2.1398e+03   8.1410e+03
  4.3133e-01   4.6095e-01  -7.8732e-01   1.6248e-02   5.3422e-03   6.4797e+03   2.4652e+04
  7.7400e-01   8.2778e-01  -2.0151e-01   1.2009e-02   4.0455e-03   2.0194e+04   7.6811e+04
  1.3889e+00   1.4835e+00   3.8210e-01   6.5880e-03   1.8462e-03   6.3849e+04   2.4289e+05
  2.4922e+00   2.6638e+00   9.6792e-01   4.0249e-03   1.4347e-03   2.0273e+05   7.7120e+05
  4.4721e+00   4.7821e+00   1.5533e+00   2.9791e-03   9.9686e-04   6.4583e+05   2.4568e+06
  8.0249e+00   8.5874e+00   2.1388e+00   1.1055e-03   5.7530e-04   2.0601e+06   7.8369e+06
  1.4400e+01   1.5419e+01   2.7240e+00   1.4370e-03   6.4427e-04   6.5639e+06   2.4970e+07
  2.5840e+01   2.7672e+01   3.3088e+00   9.8609e-04   4.4533e-04   2.0879e+07   7.9427e+07
  4.6368e+01   4.9659e+01   3.8934e+00   6.9183e-04   3.7035e-04   6.6194e+07   2.5181e+08
  8.3204e+01   8.9084e+01   4.4777e+00   2.9534e-04   3.1113e-04   2.0847e+08   7.9308e+08
  1.4930e+02   1.5977e+02   5.0618e+00   2.1865e-04   2.7994e-04   6.4758e+08   2.4635e+09
