## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4333e-01  -1.9554e+00   6.5806e-01   8.0733e-03   2.5492e+04   9.6980e+04
  2.4037e-01   2.5691e-01  -1.3716e+00   6.6463e-01   8.6227e-03   8.1748e+04   3.1100e+05
  4.3133e-01   4.6058e-01  -7.8737e-01   6.6514e-01   7.2968e-03   2.5867e+05   9.8404e+05
  7.7400e-01   8.2595e-01  -2.0268e-01   6.6529e-01   7.5891e-03   8.1703e+05   3.1082e+06
  1.3889e+00   1.4837e+00   3.8350e-01   6.6486e-01   7.4364e-03   2.5822e+06   9.8235e+06
  2.4922e+00   2.6657e+00   9.6958e-01   6.6518e-01   7.4711e-03   8.1536e+06   3.1018e+07
  4.4721e+00   4.7883e+00   1.5552e+00   6.6546e-01   7.4086e-03   2.5834e+07   9.8278e+07
  8.0249e+00   8.5983e+00   2.1404e+00   6.6552e-01   7.4597e-03   8.2181e+07   3.1264e+08
  1.4400e+01   1.5430e+01   2.7250e+00   6.6582e-01   7.3700e-03   2.6128e+08   9.9397e+08
  2.5840e+01   2.7696e+01   3.3096e+00   6.6602e-01   7.3471e-03   8.3036e+08   3.1589e+09
  4.6368e+01   4.9687e+01   3.8939e+00   6.6615e-01   7.3434e-03   2.6306e+09   1.0007e+10
  8.3204e+01   8.9126e+01   4.4781e+00   6.6641e-01   7.3526e-03   8.2921e+09   3.1545e+10
  1.4930e+02   1.5981e+02   5.0620e+00   6.6730e-01   7.1859e-03   2.5755e+10   9.7975e+10
