## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4327e-01  -1.9558e+00   6.5793e-01   5.0289e-04   1.0277e+06   3.8999e+06
  2.4037e-01   2.5686e-01  -1.3716e+00   6.5830e-01   3.4460e-04   3.2725e+06   1.2419e+07
  4.3133e-01   4.6065e-01  -7.8697e-01   6.5839e-01   2.7763e-04   1.0381e+07   3.9396e+07
  7.7400e-01   8.2713e-01  -2.0131e-01   6.5823e-01   2.7090e-04   3.2812e+07   1.2452e+08
  1.3889e+00   1.4856e+00   3.8432e-01   6.5827e-01   2.5071e-04   1.0343e+08   3.9252e+08
  2.4922e+00   2.6678e+00   9.6971e-01   6.5830e-01   2.5450e-04   3.2617e+08   1.2378e+09
  4.4721e+00   4.7894e+00   1.5548e+00   6.5828e-01   2.6384e-04   1.0331e+09   3.9204e+09
  8.0249e+00   8.5976e+00   2.1398e+00   6.5827e-01   2.5729e-04   3.2861e+09   1.2470e+10
  1.4400e+01   1.5428e+01   2.7244e+00   6.5826e-01   2.5342e-04   1.0452e+10   3.9666e+10
  2.5840e+01   2.7687e+01   3.3091e+00   6.5824e-01   2.5462e-04   3.3211e+10   1.2603e+11
  4.6368e+01   4.9682e+01   3.8937e+00   6.5823e-01   2.4814e-04   1.0530e+11   3.9960e+11
  8.3204e+01   8.9128e+01   4.4781e+00   6.5822e-01   2.4646e-04   3.3196e+11   1.2598e+12
  1.4930e+02   1.5978e+02   5.0617e+00   6.5823e-01   2.3699e-04   1.0301e+12   3.9092e+12
