## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4432e-01  -1.9483e+00   6.5923e-01   2.7497e-02   6.5590e+02   2.4970e+03
  2.4037e-01   2.5673e-01  -1.3727e+00   6.8272e-01   1.3672e-02   2.1398e+03   8.1410e+03
  4.3133e-01   4.6095e-01  -7.8732e-01   6.8149e-01   1.0296e-02   6.4797e+03   2.4652e+04
  7.7400e-01   8.2778e-01  -2.0151e-01   6.7714e-01   7.7481e-03   2.0194e+04   7.6811e+04
  1.3889e+00   1.4835e+00   3.8210e-01   6.7148e-01   7.0448e-03   6.3849e+04   2.4289e+05
  2.4922e+00   2.6638e+00   9.6792e-01   6.6927e-01   7.4430e-03   2.0273e+05   7.7120e+05
  4.4721e+00   4.7821e+00   1.5533e+00   6.6839e-01   7.7197e-03   6.4583e+05   2.4568e+06
  8.0249e+00   8.5874e+00   2.1388e+00   6.6662e-01   7.5939e-03   2.0601e+06   7.8369e+06
  1.4400e+01   1.5419e+01   2.7240e+00   6.6729e-01   7.6078e-03   6.5639e+06   2.4970e+07
  2.5840e+01   2.7672e+01   3.3088e+00   6.6698e-01   7.5147e-03   2.0879e+07   7.9427e+07
  4.6368e+01   4.9659e+01   3.8934e+00   6.6685e-01   7.4568e-03   6.6194e+07   2.5181e+08
  8.3204e+01   8.9084e+01   4.4777e+00   6.6670e-01   7.3826e-03   2.0847e+08   7.9308e+08
  1.4930e+02   1.5977e+02   5.0618e+00   6.6751e-01   7.1293e-03   6.4758e+08   2.4635e+09
