## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4327e-01  -1.9558e+00  -4.3249e-02   3.6876e-03   3.9868e+04   1.0475e+05
  2.4037e-01   2.5675e-01  -1.3719e+00  -3.9712e-02   3.3390e-03   1.2644e+05   3.3240e+05
  4.3133e-01   4.6054e-01  -7.8698e-01  -4.4128e-02   1.1643e-03   3.9988e+05   1.0510e+06
  7.7400e-01   8.2644e-01  -2.0166e-01  -4.4657e-02   5.8234e-04   1.2627e+06   3.3194e+06
  1.3889e+00   1.4848e+00   3.8456e-01  -4.4744e-02   3.6195e-04   3.9849e+06   1.0475e+07
  2.4922e+00   2.6671e+00   9.7032e-01  -4.3945e-02   2.0543e-04   1.2552e+07   3.2996e+07
  4.4721e+00   4.7901e+00   1.5557e+00  -4.3885e-02   1.7603e-04   3.9754e+07   1.0451e+08
  8.0249e+00   8.6002e+00   2.1407e+00  -4.4023e-02   1.3463e-04   1.2635e+08   3.3216e+08
  1.4400e+01   1.5432e+01   2.7252e+00  -4.4018e-02   1.1635e-04   4.0130e+08   1.0549e+09
  2.5840e+01   2.7696e+01   3.3098e+00  -4.3976e-02   1.2581e-04   1.2748e+09   3.3512e+09
  4.6368e+01   4.9693e+01   3.8941e+00  -4.3977e-02   1.2544e-04   4.0332e+09   1.0602e+10
  8.3204e+01   8.9129e+01   4.4782e+00  -4.3981e-02   1.0317e-04   1.2688e+10   3.3354e+10
  1.4930e+02   1.5978e+02   5.0618e+00  -4.3992e-02   9.5843e-05   3.9278e+10   1.0325e+11
