## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4329e-01  -1.9556e+00   4.0178e-02   7.2747e-03   1.6149e+04   2.4958e+05
  2.4037e-01   2.5692e-01  -1.3714e+00   3.8309e-02   6.7403e-03   5.1372e+04   7.9398e+05
  4.3133e-01   4.6045e-01  -7.8748e-01   3.8712e-02   7.4867e-03   1.6270e+05   2.5152e+06
  7.7400e-01   8.2625e-01  -2.0218e-01   3.8188e-02   7.0397e-03   5.1389e+05   7.9433e+06
  1.3889e+00   1.4843e+00   3.8393e-01   3.8403e-02   7.2031e-03   1.6249e+06   2.5118e+07
  2.4922e+00   2.6669e+00   9.6995e-01   3.8261e-02   7.1201e-03   5.1295e+06   7.9285e+07
  4.4721e+00   4.7894e+00   1.5553e+00   3.8258e-02   7.0830e-03   1.6256e+07   2.5128e+08
  8.0249e+00   8.5993e+00   2.1403e+00   3.8211e-02   7.0649e-03   5.1698e+07   7.9912e+08
  1.4400e+01   1.5432e+01   2.7248e+00   3.8358e-02   7.0688e-03   1.6436e+08   2.5406e+09
  2.5840e+01   2.7692e+01   3.3093e+00   3.8267e-02   7.0094e-03   5.2215e+08   8.0714e+09
  4.6368e+01   4.9678e+01   3.8937e+00   3.7767e-02   6.9257e-03   1.6537e+09   2.5564e+10
  8.3204e+01   8.9107e+01   4.4779e+00   3.7355e-02   6.9178e-03   5.2058e+09   8.0468e+10
  1.4930e+02   1.5979e+02   5.0618e+00   3.6445e-02   6.9803e-03   1.6145e+10   2.4955e+11
