## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4323e-01  -1.9559e+00  -4.4248e-02   2.0619e-04   3.7639e+06   9.8945e+06
  2.4037e-01   2.5684e-01  -1.3714e+00  -4.3793e-02   2.3160e-04   1.1991e+07   3.1520e+07
  4.3133e-01   4.6083e-01  -7.8636e-01  -4.4071e-02   1.6352e-04   3.8093e+07   1.0013e+08
  7.7400e-01   8.2752e-01  -2.0072e-01  -4.4084e-02   1.0771e-04   1.2039e+08   3.1649e+08
  1.3889e+00   1.4860e+00   3.8470e-01  -4.4025e-02   9.5244e-05   3.7942e+08   9.9742e+08
  2.4922e+00   2.6684e+00   9.6996e-01  -4.4023e-02   1.0234e-04   1.1963e+09   3.1448e+09
  4.4721e+00   4.7905e+00   1.5550e+00  -4.4002e-02   1.0557e-04   3.7895e+09   9.9619e+09
  8.0249e+00   8.5988e+00   2.1399e+00  -4.3982e-02   9.8740e-05   1.2050e+10   3.1678e+10
  1.4400e+01   1.5429e+01   2.7244e+00  -4.4000e-02   1.0034e-04   3.8320e+10   1.0074e+11
  2.5840e+01   2.7690e+01   3.3092e+00  -4.4004e-02   1.0206e-04   1.2177e+11   3.2010e+11
  4.6368e+01   4.9682e+01   3.8937e+00  -4.4019e-02   9.0534e-05   3.8564e+11   1.0138e+12
  8.3204e+01   8.9123e+01   4.4780e+00  -4.4043e-02   8.1459e-05   1.2143e+12   3.1920e+12
  1.4930e+02   1.5977e+02   5.0617e+00  -4.4032e-02   7.8604e-05   3.7617e+12   9.8887e+12
