## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4339e-01  -1.9551e+00   1.4207e-01   4.6848e-04   4.0750e+04   2.0555e+05
  2.4037e-01   2.5683e-01  -1.3719e+00   1.4099e-01   1.5559e-04   1.2880e+05   6.4968e+05
  4.3133e-01   4.6042e-01  -7.8757e-01   1.4130e-01   1.2114e-04   4.0785e+05   2.0572e+06
  7.7400e-01   8.2603e-01  -2.0244e-01   1.4142e-01   3.5484e-05   1.2866e+06   6.4897e+06
  1.3889e+00   1.4841e+00   3.8380e-01   1.4146e-01   3.1821e-05   4.0673e+06   2.0516e+07
  2.4922e+00   2.6666e+00   9.6987e-01   1.4143e-01   2.7310e-05   1.2830e+07   6.4715e+07
  4.4721e+00   4.7891e+00   1.5553e+00   1.4142e-01   2.9630e-05   4.0646e+07   2.0502e+08
  8.0249e+00   8.5987e+00   2.1404e+00   1.4142e-01   3.0777e-05   1.2925e+08   6.5195e+08
  1.4400e+01   1.5432e+01   2.7249e+00   1.4142e-01   2.3590e-05   4.1083e+08   2.0723e+09
  2.5840e+01   2.7695e+01   3.3095e+00   1.4143e-01   2.6364e-05   1.3055e+09   6.5851e+09
  4.6368e+01   4.9684e+01   3.8938e+00   1.4142e-01   2.1195e-05   4.1342e+09   2.0853e+10
  8.3204e+01   8.9122e+01   4.4781e+00   1.4142e-01   2.0031e-05   1.3026e+10   6.5704e+10
  1.4930e+02   1.5980e+02   5.0619e+00   1.4142e-01   1.9296e-05   4.0428e+10   2.0392e+11
