## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   8.0967e-02   5.2230e-03   7.4343e+02   3.7280e+03
  2.4037e-01   2.5733e-01  -1.3702e+00   2.3218e-02   1.7821e-03   3.1612e+03   1.5852e+04
  4.3133e-01   4.6140e-01  -7.8621e-01   5.0609e-03   8.9810e-04   1.0147e+04   5.0881e+04
  7.7400e-01   8.2757e-01  -2.0169e-01   2.9639e-03   3.4572e-04   3.1591e+04   1.5841e+05
  1.3889e+00   1.4837e+00   3.8250e-01   1.6653e-03   4.8348e-04   1.0023e+05   5.0263e+05
  2.4922e+00   2.6632e+00   9.6784e-01   1.0089e-03   2.0223e-04   3.1797e+05   1.5945e+06
  4.4721e+00   4.7831e+00   1.5536e+00   6.1082e-04   1.4025e-04   1.0131e+06   5.0802e+06
  8.0249e+00   8.5906e+00   2.1392e+00   4.0592e-04   1.2331e-04   3.2334e+06   1.6214e+07
  1.4400e+01   1.5422e+01   2.7242e+00   1.9460e-04   1.1784e-04   1.0303e+07   5.1667e+07
  2.5840e+01   2.7676e+01   3.3089e+00   6.6279e-05   1.5127e-04   3.2780e+07   1.6438e+08
  4.6368e+01   4.9664e+01   3.8935e+00  -4.5341e-05   1.3810e-04   1.0398e+08   5.2140e+08
  8.3204e+01   8.9091e+01   4.4778e+00  -1.0521e-04   1.1459e-04   3.2758e+08   1.6427e+09
  1.4930e+02   1.5978e+02   5.0618e+00  -3.4041e-06   8.6819e-05   1.0175e+09   5.1021e+09
