## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4330e-01  -1.9555e+00   1.4273e-01   1.1918e-03   4.2438e+04   2.1281e+05
  2.4037e-01   2.5679e-01  -1.3718e+00   1.4245e-01   1.1720e-03   1.3508e+05   6.7738e+05
  4.3133e-01   4.6032e-01  -7.8753e-01   1.4235e-01   1.1590e-03   4.2764e+05   2.1444e+06
  7.7400e-01   8.2635e-01  -2.0187e-01   1.4230e-01   1.2072e-03   1.3527e+06   6.7834e+06
  1.3889e+00   1.4847e+00   3.8431e-01   1.4229e-01   1.1095e-03   4.2711e+06   2.1418e+07
  2.4922e+00   2.6671e+00   9.7017e-01   1.4238e-01   1.1329e-03   1.3482e+07   6.7609e+07
  4.4721e+00   4.7899e+00   1.5555e+00   1.4242e-01   1.1327e-03   4.2727e+07   2.1426e+08
  8.0249e+00   8.5999e+00   2.1406e+00   1.4240e-01   1.1275e-03   1.3589e+08   6.8145e+08
  1.4400e+01   1.5433e+01   2.7251e+00   1.4245e-01   1.1166e-03   4.3202e+08   2.1664e+09
  2.5840e+01   2.7698e+01   3.3096e+00   1.4247e-01   1.1116e-03   1.3730e+09   6.8849e+09
  4.6368e+01   4.9689e+01   3.8939e+00   1.4250e-01   1.1094e-03   4.3491e+09   2.1809e+10
  8.3204e+01   8.9128e+01   4.4781e+00   1.4256e-01   1.1016e-03   1.3708e+10   6.8742e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.4267e-01   1.0590e-03   4.2583e+10   2.1354e+11
