## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4320e-01  -1.9562e+00   1.4133e-01   6.8151e-05   1.6786e+06   8.4668e+06
  2.4037e-01   2.5679e-01  -1.3717e+00   1.4144e-01   3.3393e-05   5.3422e+06   2.6947e+07
  4.3133e-01   4.6069e-01  -7.8668e-01   1.4139e-01   3.7522e-05   1.6973e+07   8.5614e+07
  7.7400e-01   8.2739e-01  -2.0090e-01   1.4140e-01   2.5404e-05   5.3666e+07   2.7070e+08
  1.3889e+00   1.4859e+00   3.8457e-01   1.4141e-01   2.3155e-05   1.6913e+08   8.5314e+08
  2.4922e+00   2.6681e+00   9.6982e-01   1.4142e-01   1.9907e-05   5.3329e+08   2.6900e+09
  4.4721e+00   4.7901e+00   1.5549e+00   1.4144e-01   1.9544e-05   1.6894e+09   8.5214e+09
  8.0249e+00   8.5982e+00   2.1398e+00   1.4142e-01   2.1421e-05   5.3727e+09   2.7101e+10
  1.4400e+01   1.5428e+01   2.7244e+00   1.4143e-01   2.0755e-05   1.7088e+10   8.6194e+10
  2.5840e+01   2.7689e+01   3.3092e+00   1.4142e-01   1.9792e-05   5.4316e+10   2.7398e+11
  4.6368e+01   4.9683e+01   3.8937e+00   1.4142e-01   1.9448e-05   1.7215e+11   8.6835e+11
  8.3204e+01   8.9129e+01   4.4781e+00   1.4142e-01   1.8971e-05   5.4278e+11   2.7379e+12
  1.4930e+02   1.5978e+02   5.0617e+00   1.4142e-01   1.8557e-05   1.6841e+12   8.4949e+12
