## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4339e-01  -1.9551e+00   1.4209e-01   4.6586e-04   8.0786e+03   2.0555e+05
  2.4037e-01   2.5683e-01  -1.3719e+00   1.4097e-01   1.5271e-04   2.5533e+04   6.4965e+05
  4.3133e-01   4.6044e-01  -7.8753e-01   1.4129e-01   1.2019e-04   8.0867e+04   2.0575e+06
  7.7400e-01   8.2604e-01  -2.0243e-01   1.4143e-01   3.4438e-05   2.5506e+05   6.4895e+06
  1.3889e+00   1.4841e+00   3.8382e-01   1.4146e-01   2.9322e-05   8.0637e+05   2.0517e+07
  2.4922e+00   2.6666e+00   9.6988e-01   1.4143e-01   2.8969e-05   2.5435e+06   6.4714e+07
  4.4721e+00   4.7892e+00   1.5553e+00   1.4141e-01   2.7961e-05   8.0581e+06   2.0503e+08
  8.0249e+00   8.5988e+00   2.1404e+00   1.4142e-01   3.1522e-05   2.5624e+07   6.5195e+08
  1.4400e+01   1.5432e+01   2.7249e+00   1.4142e-01   2.3031e-05   8.1448e+07   2.0723e+09
  2.5840e+01   2.7696e+01   3.3095e+00   1.4143e-01   2.6572e-05   2.5881e+08   6.5851e+09
  4.6368e+01   4.9684e+01   3.8938e+00   1.4142e-01   2.0944e-05   8.1958e+08   2.0853e+10
  8.3204e+01   8.9122e+01   4.4781e+00   1.4142e-01   2.0042e-05   2.5824e+09   6.5705e+10
  1.4930e+02   1.5980e+02   5.0619e+00   1.4142e-01   1.9260e-05   8.0148e+09   2.0392e+11
