## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4330e-01  -1.9555e+00   1.4275e-01   1.1961e-03   8.4631e+03   2.1282e+05
  2.4037e-01   2.5681e-01  -1.3717e+00   1.4244e-01   1.1631e-03   2.6943e+04   6.7751e+05
  4.3133e-01   4.6033e-01  -7.8750e-01   1.4236e-01   1.1576e-03   8.5277e+04   2.1444e+06
  7.7400e-01   8.2635e-01  -2.0187e-01   1.4230e-01   1.2017e-03   2.6976e+05   6.7834e+06
  1.3889e+00   1.4847e+00   3.8432e-01   1.4229e-01   1.1142e-03   8.5171e+05   2.1417e+07
  2.4922e+00   2.6671e+00   9.7017e-01   1.4237e-01   1.1291e-03   2.6887e+06   6.7610e+07
  4.4721e+00   4.7898e+00   1.5555e+00   1.4242e-01   1.1327e-03   8.5199e+06   2.1424e+08
  8.0249e+00   8.5998e+00   2.1406e+00   1.4240e-01   1.1273e-03   2.7100e+07   6.8145e+08
  1.4400e+01   1.5433e+01   2.7251e+00   1.4245e-01   1.1153e-03   8.6152e+07   2.1664e+09
  2.5840e+01   2.7698e+01   3.3096e+00   1.4247e-01   1.1115e-03   2.7379e+08   6.8849e+09
  4.6368e+01   4.9689e+01   3.8939e+00   1.4250e-01   1.1094e-03   8.6728e+08   2.1809e+10
  8.3204e+01   8.9128e+01   4.4781e+00   1.4256e-01   1.1020e-03   2.7337e+09   6.8743e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.4267e-01   1.0593e-03   8.4916e+09   2.1353e+11
