## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4340e-01  -1.9550e+00   4.3065e-01   2.8425e-03   3.0317e+04   2.0566e+05
  2.4037e-01   2.5690e-01  -1.3716e+00   4.3247e-01   1.6324e-03   9.5871e+04   6.5049e+05
  4.3133e-01   4.6057e-01  -7.8731e-01   4.3245e-01   5.9887e-04   3.0371e+05   2.0606e+06
  7.7400e-01   8.2623e-01  -2.0226e-01   4.3220e-01   4.1108e-04   9.5734e+05   6.4951e+06
  1.3889e+00   1.4841e+00   3.8381e-01   4.3196e-01   3.7093e-04   3.0247e+06   2.0522e+07
  2.4922e+00   2.6666e+00   9.6988e-01   4.3167e-01   2.7471e-04   9.5435e+06   6.4750e+07
  4.4721e+00   4.7892e+00   1.5554e+00   4.3177e-01   1.9059e-04   3.0233e+07   2.0512e+08
  8.0249e+00   8.5987e+00   2.1404e+00   4.3169e-01   1.9055e-04   9.6137e+07   6.5226e+08
  1.4400e+01   1.5431e+01   2.7249e+00   4.3169e-01   1.7909e-04   3.0558e+08   2.0733e+09
  2.5840e+01   2.7695e+01   3.3095e+00   4.3176e-01   1.7206e-04   9.7105e+08   6.5883e+09
  4.6368e+01   4.9684e+01   3.8938e+00   4.3168e-01   1.8066e-04   3.0751e+09   2.0864e+10
  8.3204e+01   8.9122e+01   4.4781e+00   4.3171e-01   1.7085e-04   9.6889e+09   6.5737e+10
  1.4930e+02   1.5980e+02   5.0619e+00   4.3168e-01   1.4935e-04   3.0071e+10   2.0402e+11
