## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4340e-01  -1.9550e+00   2.8596e-01   1.4258e-02   2.0833e+03   1.6601e+04
  2.4037e-01   2.5743e-01  -1.3699e+00   2.8662e-01   1.1072e-02   6.6094e+03   5.2652e+04
  4.3133e-01   4.6104e-01  -7.8685e-01   2.8583e-01   1.3380e-02   2.0974e+04   1.6706e+05
  7.7400e-01   8.2631e-01  -2.0293e-01   2.8738e-01   1.3564e-02   6.6140e+04   5.2665e+05
  1.3889e+00   1.4828e+00   3.8234e-01   2.8768e-01   1.2800e-02   2.0865e+05   1.6614e+06
  2.4922e+00   2.6634e+00   9.6838e-01   2.8820e-01   1.3378e-02   6.5858e+05   5.2437e+06
  4.4721e+00   4.7859e+00   1.5545e+00   2.8666e-01   1.3361e-02   2.0928e+06   1.6661e+07
  8.0249e+00   8.5955e+00   2.1399e+00   2.8550e-01   1.3176e-02   6.6649e+06   5.3058e+07
  1.4400e+01   1.5427e+01   2.7245e+00   2.8534e-01   1.3268e-02   2.1201e+07   1.6879e+08
  2.5840e+01   2.7683e+01   3.3090e+00   2.8514e-01   1.3161e-02   6.7393e+07   5.3653e+08
  4.6368e+01   4.9667e+01   3.8935e+00   2.8549e-01   1.3141e-02   2.1349e+08   1.6996e+09
  8.3204e+01   8.9091e+01   4.4777e+00   2.8642e-01   1.3032e-02   6.7209e+08   5.3505e+09
  1.4930e+02   1.5976e+02   5.0617e+00   2.8807e-01   1.2871e-02   2.0849e+09   1.6598e+10
