## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4332e-01  -1.9555e+00   4.3207e-01   1.3890e-03   9.8273e+04   6.6670e+05
  2.4037e-01   2.5697e-01  -1.3713e+00   4.3212e-01   6.8248e-04   3.1283e+05   2.1223e+06
  4.3133e-01   4.6060e-01  -7.8720e-01   4.3187e-01   4.2770e-04   9.9124e+05   6.7249e+06
  7.7400e-01   8.2658e-01  -2.0189e-01   4.3142e-01   3.1052e-04   3.1283e+06   2.1224e+07
  1.3889e+00   1.4847e+00   3.8403e-01   4.3173e-01   1.7716e-04   9.8681e+06   6.6951e+07
  2.4922e+00   2.6672e+00   9.6985e-01   4.3171e-01   2.0769e-04   3.1133e+07   2.1123e+08
  4.4721e+00   4.7894e+00   1.5551e+00   4.3169e-01   1.1393e-04   9.8592e+07   6.6892e+08
  8.0249e+00   8.5985e+00   2.1401e+00   4.3160e-01   1.5527e-04   3.1339e+08   2.1262e+09
  1.4400e+01   1.5431e+01   2.7247e+00   4.3166e-01   1.8559e-04   9.9628e+08   6.7595e+09
  2.5840e+01   2.7693e+01   3.3093e+00   4.3168e-01   1.7539e-04   3.1649e+09   2.1473e+10
  4.6368e+01   4.9688e+01   3.8938e+00   4.3167e-01   1.8104e-04   1.0023e+10   6.8000e+10
  8.3204e+01   8.9115e+01   4.4779e+00   4.3169e-01   1.6653e-04   3.1541e+10   2.1400e+11
  1.4930e+02   1.5977e+02   5.0617e+00   4.3168e-01   1.5061e-04   9.7804e+10   6.6357e+11
