## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4813e-01  -1.9212e+00   5.8574e-01   3.2143e-02   4.6755e+02   3.7280e+03
  2.4037e-01   2.5735e-01  -1.3701e+00   3.6913e-01   1.5582e-02   1.9912e+03   1.5861e+04
  4.3133e-01   4.6150e-01  -7.8602e-01   3.0474e-01   1.3253e-02   6.3981e+03   5.0934e+04
  7.7400e-01   8.2774e-01  -2.0150e-01   2.9561e-01   1.3485e-02   1.9923e+04   1.5855e+05
  1.3889e+00   1.4840e+00   3.8270e-01   2.9145e-01   1.2811e-02   6.3191e+04   5.0316e+05
  2.4922e+00   2.6633e+00   9.6787e-01   2.9133e-01   1.3019e-02   2.0034e+05   1.5951e+06
  4.4721e+00   4.7833e+00   1.5536e+00   2.8882e-01   1.3256e-02   6.3858e+05   5.0839e+06
  8.0249e+00   8.5909e+00   2.1392e+00   2.8755e-01   1.3076e-02   2.0379e+06   1.6224e+07
  1.4400e+01   1.5422e+01   2.7242e+00   2.8675e-01   1.3116e-02   6.4932e+06   5.1695e+07
  2.5840e+01   2.7676e+01   3.3089e+00   2.8619e-01   1.3074e-02   2.0659e+07   1.6447e+08
  4.6368e+01   4.9665e+01   3.8935e+00   2.8626e-01   1.3097e-02   6.5534e+07   5.2172e+08
  8.3204e+01   8.9093e+01   4.4778e+00   2.8703e-01   1.2972e-02   2.0646e+08   1.6436e+09
  1.4930e+02   1.5978e+02   5.0618e+00   2.8895e-01   1.2834e-02   6.4124e+08   5.1049e+09
