## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   4.0691e-01   2.6695e-02   7.4343e+02   3.7280e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   1.1796e-01   9.6458e-03   3.1620e+03   1.5856e+04
  4.3133e-01   4.6143e-01  -7.8616e-01   3.0776e-02   5.2706e-03   1.0151e+04   5.0903e+04
  7.7400e-01   8.2752e-01  -2.0175e-01   1.5439e-02   2.3008e-03   3.1601e+04   1.5846e+05
  1.3889e+00   1.4837e+00   3.8251e-01   6.2779e-03   1.9134e-03   1.0032e+05   5.0305e+05
  2.4922e+00   2.6633e+00   9.6787e-01   2.7919e-03   7.4479e-04   3.1813e+05   1.5953e+06
  4.4721e+00   4.7830e+00   1.5536e+00   2.0827e-03   5.5780e-04   1.0136e+06   5.0828e+06
  8.0249e+00   8.5906e+00   2.1392e+00   1.6305e-03   5.6742e-04   3.2352e+06   1.6223e+07
  1.4400e+01   1.5421e+01   2.7242e+00   1.0732e-03   4.4735e-04   1.0308e+07   5.1692e+07
  2.5840e+01   2.7676e+01   3.3089e+00   6.6766e-04   5.4568e-04   3.2798e+07   1.6447e+08
  4.6368e+01   4.9664e+01   3.8935e+00   3.3233e-04   3.7958e-04   1.0404e+08   5.2170e+08
  8.3204e+01   8.9092e+01   4.4778e+00   7.5496e-05   3.1893e-04   3.2777e+08   1.6436e+09
  1.4930e+02   1.5978e+02   5.0618e+00   3.6168e-04   2.3302e-04   1.0180e+09   5.1048e+09
