## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4336e-01  -1.9553e+00   7.1482e-01   7.0724e-03   3.3107e+03   1.6602e+04
  2.4037e-01   2.5742e-01  -1.3699e+00   7.1318e-01   6.6229e-03   1.0496e+04   5.2633e+04
  4.3133e-01   4.6101e-01  -7.8689e-01   7.0934e-01   7.5101e-03   3.3309e+04   1.6703e+05
  7.7400e-01   8.2629e-01  -2.0293e-01   7.1315e-01   5.9908e-03   1.0502e+05   5.2662e+05
  1.3889e+00   1.4827e+00   3.8228e-01   7.1566e-01   5.4990e-03   3.3124e+05   1.6610e+06
  2.4922e+00   2.6634e+00   9.6836e-01   7.1622e-01   5.7456e-03   1.0458e+06   5.2443e+06
  4.4721e+00   4.7860e+00   1.5545e+00   7.1525e-01   5.7128e-03   3.3226e+06   1.6661e+07
  8.0249e+00   8.5954e+00   2.1399e+00   7.1444e-01   5.6906e-03   1.0580e+07   5.3053e+07
  1.4400e+01   1.5427e+01   2.7246e+00   7.1420e-01   5.5334e-03   3.3661e+07   1.6880e+08
  2.5840e+01   2.7684e+01   3.3091e+00   7.1412e-01   5.5530e-03   1.0699e+08   5.3654e+08
  4.6368e+01   4.9667e+01   3.8935e+00   7.1402e-01   5.5124e-03   3.3893e+08   1.6996e+09
  8.3204e+01   8.9090e+01   4.4777e+00   7.1429e-01   5.4944e-03   1.0670e+09   5.3505e+09
  1.4930e+02   1.5976e+02   5.0617e+00   7.1504e-01   5.2972e-03   3.3099e+09   1.6598e+10
