## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4330e-01  -1.9556e+00   7.0913e-01   1.3787e-03   1.3158e+05   6.6641e+05
  2.4037e-01   2.5691e-01  -1.3715e+00   7.0977e-01   5.6283e-04   4.1870e+05   2.1210e+06
  4.3133e-01   4.6051e-01  -7.8738e-01   7.0948e-01   4.5002e-04   1.3269e+06   6.7207e+06
  7.7400e-01   8.2645e-01  -2.0202e-01   7.0926e-01   2.9085e-04   4.1892e+06   2.1218e+07
  1.3889e+00   1.4847e+00   3.8400e-01   7.0945e-01   2.0981e-04   1.3220e+07   6.6956e+07
  2.4922e+00   2.6672e+00   9.6985e-01   7.0929e-01   1.9264e-04   4.1705e+07   2.1123e+08
  4.4721e+00   4.7894e+00   1.5551e+00   7.0936e-01   1.3503e-04   1.3206e+08   6.6890e+08
  8.0249e+00   8.5985e+00   2.1401e+00   7.0930e-01   1.5580e-04   4.1979e+08   2.1263e+09
  1.4400e+01   1.5431e+01   2.7247e+00   7.0932e-01   2.1142e-04   1.3345e+09   6.7595e+09
  2.5840e+01   2.7693e+01   3.3093e+00   7.0934e-01   1.9766e-04   4.2396e+09   2.1474e+10
  4.6368e+01   4.9688e+01   3.8938e+00   7.0933e-01   1.9072e-04   1.3426e+10   6.8001e+10
  8.3204e+01   8.9116e+01   4.4779e+00   7.0931e-01   1.7781e-04   4.2251e+10   2.1400e+11
  1.4930e+02   1.5977e+02   5.0617e+00   7.0930e-01   1.6614e-04   1.3101e+11   6.6357e+11
