## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   1.1217e+00   2.7205e-02   7.4343e+02   3.7280e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   8.3114e-01   1.0660e-02   3.1620e+03   1.5856e+04
  4.3133e-01   4.6143e-01  -7.8616e-01   7.4012e-01   6.8112e-03   1.0151e+04   5.0903e+04
  7.7400e-01   8.2752e-01  -2.0175e-01   7.2859e-01   5.2764e-03   3.1601e+04   1.5846e+05
  1.3889e+00   1.4837e+00   3.8251e-01   7.2194e-01   5.7036e-03   1.0032e+05   5.0305e+05
  2.4922e+00   2.6633e+00   9.6787e-01   7.1901e-01   5.6541e-03   3.1813e+05   1.5953e+06
  4.4721e+00   4.7830e+00   1.5536e+00   7.1734e-01   5.6942e-03   1.0136e+06   5.0828e+06
  8.0249e+00   8.5906e+00   2.1392e+00   7.1607e-01   5.4712e-03   3.2352e+06   1.6223e+07
  1.4400e+01   1.5421e+01   2.7242e+00   7.1527e-01   5.4221e-03   1.0308e+07   5.1692e+07
  2.5840e+01   2.7676e+01   3.3089e+00   7.1479e-01   5.3811e-03   3.2798e+07   1.6447e+08
  4.6368e+01   4.9664e+01   3.8935e+00   7.1436e-01   5.4031e-03   1.0404e+08   5.2170e+08
  8.3204e+01   8.9092e+01   4.4778e+00   7.1436e-01   5.4006e-03   3.2777e+08   1.6436e+09
  1.4930e+02   1.5978e+02   5.0618e+00   7.1540e-01   5.2094e-03   1.0180e+09   5.1048e+09
