## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4339e-01  -1.9550e+00   7.0949e-01   2.0436e-03   4.0555e+04   2.0544e+05
  2.4037e-01   2.5684e-01  -1.3718e+00   7.0952e-01   1.6750e-03   1.2829e+05   6.4975e+05
  4.3133e-01   4.6045e-01  -7.8753e-01   7.0893e-01   5.0387e-04   4.0625e+05   2.0576e+06
  7.7400e-01   8.2605e-01  -2.0244e-01   7.1002e-01   4.0455e-04   1.2812e+06   6.4890e+06
  1.3889e+00   1.4840e+00   3.8378e-01   7.0941e-01   3.5183e-04   4.0500e+06   2.0513e+07
  2.4922e+00   2.6665e+00   9.6986e-01   7.0931e-01   2.7137e-04   1.2776e+07   6.4710e+07
  4.4721e+00   4.7891e+00   1.5553e+00   7.0939e-01   2.2362e-04   4.0476e+07   2.0501e+08
  8.0249e+00   8.5987e+00   2.1404e+00   7.0938e-01   2.0755e-04   1.2871e+08   6.5191e+08
  1.4400e+01   1.5431e+01   2.7249e+00   7.0934e-01   2.2716e-04   4.0912e+08   2.0722e+09
  2.5840e+01   2.7695e+01   3.3095e+00   7.0939e-01   2.1116e-04   1.3000e+09   6.5847e+09
  4.6368e+01   4.9684e+01   3.8938e+00   7.0931e-01   1.9449e-04   4.1170e+09   2.0852e+10
  8.3204e+01   8.9122e+01   4.4781e+00   7.0931e-01   1.8102e-04   1.2971e+10   6.5700e+10
  1.4930e+02   1.5980e+02   5.0619e+00   7.0930e-01   1.6448e-04   4.0259e+10   2.0391e+11
