## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   4.0585e-01   2.6194e-02   7.4343e+02   3.7280e+03
  2.4037e-01   2.5735e-01  -1.3702e+00   1.1673e-01   8.8837e-03   3.1622e+03   1.5857e+04
  4.3133e-01   4.6145e-01  -7.8612e-01   2.4944e-02   4.3830e-03   1.0148e+04   5.0887e+04
  7.7400e-01   8.2756e-01  -2.0170e-01   1.5012e-02   1.7023e-03   3.1583e+04   1.5838e+05
  1.3889e+00   1.4837e+00   3.8252e-01   8.1187e-03   2.4702e-03   1.0026e+05   5.0275e+05
  2.4922e+00   2.6631e+00   9.6782e-01   5.1442e-03   1.0119e-03   3.1789e+05   1.5941e+06
  4.4721e+00   4.7830e+00   1.5536e+00   2.9577e-03   7.2300e-04   1.0132e+06   5.0806e+06
  8.0249e+00   8.5906e+00   2.1392e+00   2.0371e-03   6.0816e-04   3.2334e+06   1.6214e+07
  1.4400e+01   1.5422e+01   2.7242e+00   9.7643e-04   5.9048e-04   1.0303e+07   5.1664e+07
  2.5840e+01   2.7676e+01   3.3089e+00   3.0665e-04   7.4895e-04   3.2782e+07   1.6439e+08
  4.6368e+01   4.9664e+01   3.8935e+00  -2.4971e-04   6.8739e-04   1.0397e+08   5.2139e+08
  8.3204e+01   8.9092e+01   4.4778e+00  -5.0487e-04   5.7790e-04   3.2759e+08   1.6427e+09
  1.4930e+02   1.5978e+02   5.0618e+00  -2.6049e-05   4.3330e-04   1.0175e+09   5.1021e+09
