## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4331e-01  -1.9555e+00   7.1582e-01   5.9694e-03   4.2445e+04   2.1284e+05
  2.4037e-01   2.5680e-01  -1.3718e+00   7.1433e-01   5.8286e-03   1.3509e+05   6.7740e+05
  4.3133e-01   4.6032e-01  -7.8753e-01   7.1397e-01   5.8107e-03   4.2762e+05   2.1443e+06
  7.7400e-01   8.2632e-01  -2.0191e-01   7.1351e-01   6.0366e-03   1.3526e+06   6.7826e+06
  1.3889e+00   1.4847e+00   3.8430e-01   7.1354e-01   5.5883e-03   4.2712e+06   2.1418e+07
  2.4922e+00   2.6671e+00   9.7018e-01   7.1387e-01   5.6328e-03   1.3483e+07   6.7610e+07
  4.4721e+00   4.7899e+00   1.5556e+00   7.1419e-01   5.6956e-03   4.2727e+07   2.1426e+08
  8.0249e+00   8.5999e+00   2.1406e+00   7.1410e-01   5.6504e-03   1.3589e+08   6.8143e+08
  1.4400e+01   1.5433e+01   2.7251e+00   7.1430e-01   5.5914e-03   4.3202e+08   2.1664e+09
  2.5840e+01   2.7698e+01   3.3096e+00   7.1446e-01   5.5754e-03   1.3730e+09   6.8848e+09
  4.6368e+01   4.9689e+01   3.8939e+00   7.1460e-01   5.5622e-03   4.3491e+09   2.1809e+10
  8.3204e+01   8.9128e+01   4.4781e+00   7.1490e-01   5.5240e-03   1.3708e+10   6.8742e+10
  1.4930e+02   1.5981e+02   5.0620e+00   7.1541e-01   5.3105e-03   4.2584e+10   2.1354e+11
