## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4320e-01  -1.9562e+00   7.0913e-01   5.3476e-04   1.6716e+06   8.4672e+06
  2.4037e-01   2.5679e-01  -1.3717e+00   7.0940e-01   2.6153e-04   5.3198e+06   2.6944e+07
  4.3133e-01   4.6069e-01  -7.8668e-01   7.0925e-01   2.1537e-04   1.6903e+07   8.5614e+07
  7.7400e-01   8.2740e-01  -2.0090e-01   7.0932e-01   1.8139e-04   5.3443e+07   2.7069e+08
  1.3889e+00   1.4859e+00   3.8457e-01   7.0935e-01   2.0364e-04   1.6843e+08   8.5310e+08
  2.4922e+00   2.6681e+00   9.6981e-01   7.0931e-01   2.0099e-04   5.3106e+08   2.6898e+09
  4.4721e+00   4.7900e+00   1.5549e+00   7.0938e-01   1.9042e-04   1.6823e+09   8.5210e+09
  8.0249e+00   8.5982e+00   2.1398e+00   7.0937e-01   1.9606e-04   5.3502e+09   2.7099e+10
  1.4400e+01   1.5428e+01   2.7244e+00   7.0938e-01   1.9979e-04   1.7017e+10   8.6189e+10
  2.5840e+01   2.7689e+01   3.3092e+00   7.0938e-01   1.9307e-04   5.4090e+10   2.7397e+11
  4.6368e+01   4.9683e+01   3.8937e+00   7.0937e-01   1.8170e-04   1.7143e+11   8.6830e+11
  8.3204e+01   8.9128e+01   4.4781e+00   7.0936e-01   1.7320e-04   5.4052e+11   2.7377e+12
  1.4930e+02   1.5978e+02   5.0617e+00   7.0934e-01   1.6644e-04   1.6771e+12   8.4945e+12
