## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4812e-01  -1.9212e+00   1.1217e+00   2.7200e-02   7.4343e+02   3.7280e+03
  2.4037e-01   2.5735e-01  -1.3702e+00   8.3097e-01   1.0550e-02   3.1622e+03   1.5857e+04
  4.3133e-01   4.6145e-01  -7.8612e-01   7.3890e-01   6.8623e-03   1.0148e+04   5.0887e+04
  7.7400e-01   8.2756e-01  -2.0170e-01   7.2852e-01   5.2953e-03   3.1583e+04   1.5838e+05
  1.3889e+00   1.4837e+00   3.8252e-01   7.2166e-01   5.6474e-03   1.0026e+05   5.0275e+05
  2.4922e+00   2.6631e+00   9.6782e-01   7.1905e-01   5.6600e-03   3.1789e+05   1.5941e+06
  4.4721e+00   4.7830e+00   1.5536e+00   7.1715e-01   5.6600e-03   1.0132e+06   5.0806e+06
  8.0249e+00   8.5906e+00   2.1392e+00   7.1612e-01   5.4937e-03   3.2334e+06   1.6214e+07
  1.4400e+01   1.5422e+01   2.7242e+00   7.1530e-01   5.4171e-03   1.0303e+07   5.1664e+07
  2.5840e+01   2.7676e+01   3.3089e+00   7.1477e-01   5.3852e-03   3.2782e+07   1.6439e+08
  4.6368e+01   4.9664e+01   3.8935e+00   7.1435e-01   5.4036e-03   1.0397e+08   5.2139e+08
  8.3204e+01   8.9092e+01   4.4778e+00   7.1438e-01   5.4091e-03   3.2759e+08   1.6427e+09
  1.4930e+02   1.5978e+02   5.0618e+00   7.1539e-01   5.2117e-03   1.0175e+09   5.1021e+09
