## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4336e-01  -1.9553e+00   7.0945e-01   4.8382e-03   1.0197e+04   5.1652e+04
  2.4037e-01   2.5671e-01  -1.3723e+00   7.0916e-01   2.5440e-03   3.2186e+04   1.6298e+05
  4.3133e-01   4.6062e-01  -7.8720e-01   7.0913e-01   7.2708e-04   1.0168e+05   5.1498e+05
  7.7400e-01   8.2580e-01  -2.0272e-01   7.1048e-01   1.0874e-03   3.2030e+05   1.6222e+06
  1.3889e+00   1.4836e+00   3.8359e-01   7.0995e-01   5.3961e-04   1.0126e+06   5.1286e+06
  2.4922e+00   2.6660e+00   9.6980e-01   7.0915e-01   2.9292e-04   3.1907e+06   1.6160e+07
  4.4721e+00   4.7886e+00   1.5554e+00   7.0924e-01   2.0737e-04   1.0109e+07   5.1203e+07
  8.0249e+00   8.5987e+00   2.1406e+00   7.0935e-01   2.1092e-04   3.2139e+07   1.6278e+08
  1.4400e+01   1.5431e+01   2.7251e+00   7.0925e-01   2.0979e-04   1.0209e+08   5.1709e+08
  2.5840e+01   2.7695e+01   3.3098e+00   7.0930e-01   2.2037e-04   3.2436e+08   1.6429e+09
  4.6368e+01   4.9693e+01   3.8941e+00   7.0928e-01   2.0829e-04   1.0262e+09   5.1975e+09
  8.3204e+01   8.9127e+01   4.4782e+00   7.0929e-01   1.8771e-04   3.2278e+09   1.6349e+10
  1.4930e+02   1.5978e+02   5.0618e+00   7.0927e-01   1.6725e-04   9.9929e+09   5.0614e+10
