## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4854e-01  -1.9184e+00   6.1321e-01   1.0167e-01   1.5535e+02   7.7900e+02
  2.4037e-01   2.5842e-01  -1.3660e+00   2.5383e-01   2.1059e-02   7.8591e+02   3.9410e+03
  4.3133e-01   4.6213e-01  -7.8460e-01   4.5029e-02   9.6596e-03   2.5577e+03   1.2826e+04
  7.7400e-01   8.2824e-01  -2.0111e-01   2.3196e-02   7.9243e-03   7.8694e+03   3.9462e+04
  1.3889e+00   1.4839e+00   3.8240e-01   1.7485e-03   1.7855e-03   2.4980e+04   1.2527e+05
  2.4922e+00   2.6625e+00   9.6734e-01   1.7196e-03   1.1331e-03   7.9241e+04   3.9736e+05
  4.4721e+00   4.7794e+00   1.5528e+00   1.2140e-03   1.0628e-03   2.5167e+05   1.2620e+06
  8.0249e+00   8.5855e+00   2.1387e+00   1.3916e-03   5.6798e-04   8.0382e+05   4.0308e+06
  1.4400e+01   1.5417e+01   2.7240e+00   4.1906e-04   3.8519e-04   2.5620e+06   1.2847e+07
  2.5840e+01   2.7674e+01   3.3089e+00   5.0618e-04   4.7890e-04   8.1488e+06   4.0863e+07
  4.6368e+01   4.9661e+01   3.8935e+00  -8.7237e-05   3.4480e-04   2.5815e+07   1.2945e+08
  8.3204e+01   8.9073e+01   4.4776e+00  -3.8041e-04   3.1632e-04   8.1197e+07   4.0717e+08
  1.4930e+02   1.5974e+02   5.0616e+00  -3.9763e-04   2.6840e-04   2.5161e+08   1.2617e+09
