## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4336e-01  -1.9552e+00   7.1490e-01   7.1415e-03   3.3103e+03   1.6600e+04
  2.4037e-01   2.5741e-01  -1.3699e+00   7.1315e-01   6.6417e-03   1.0495e+04   5.2630e+04
  4.3133e-01   4.6100e-01  -7.8690e-01   7.0916e-01   7.5244e-03   3.3309e+04   1.6703e+05
  7.7400e-01   8.2627e-01  -2.0296e-01   7.1320e-01   5.9877e-03   1.0501e+05   5.2658e+05
  1.3889e+00   1.4827e+00   3.8226e-01   7.1563e-01   5.5144e-03   3.3123e+05   1.6610e+06
  2.4922e+00   2.6633e+00   9.6833e-01   7.1629e-01   5.7611e-03   1.0457e+06   5.2438e+06
  4.4721e+00   4.7858e+00   1.5545e+00   7.1529e-01   5.6696e-03   3.3225e+06   1.6661e+07
  8.0249e+00   8.5955e+00   2.1399e+00   7.1444e-01   5.6822e-03   1.0581e+07   5.3057e+07
  1.4400e+01   1.5427e+01   2.7246e+00   7.1424e-01   5.5247e-03   3.3661e+07   1.6880e+08
  2.5840e+01   2.7684e+01   3.3091e+00   7.1406e-01   5.5555e-03   1.0699e+08   5.3653e+08
  4.6368e+01   4.9667e+01   3.8935e+00   7.1403e-01   5.5159e-03   3.3892e+08   1.6995e+09
  8.3204e+01   8.9090e+01   4.4777e+00   7.1429e-01   5.4953e-03   1.0670e+09   5.3505e+09
  1.4930e+02   1.5976e+02   5.0617e+00   7.1504e-01   5.2944e-03   3.3098e+09   1.6597e+10
