## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4854e-01  -1.9184e+00   1.3281e+00   1.0390e-01   1.5535e+02   7.7900e+02
  2.4037e-01   2.5842e-01  -1.3660e+00   9.6698e-01   1.8559e-02   7.8591e+02   3.9410e+03
  4.3133e-01   4.6213e-01  -7.8460e-01   7.5419e-01   1.1266e-02   2.5577e+03   1.2826e+04
  7.7400e-01   8.2824e-01  -2.0111e-01   7.3640e-01   6.6260e-03   7.8694e+03   3.9462e+04
  1.3889e+00   1.4839e+00   3.8240e-01   7.1737e-01   6.1298e-03   2.4980e+04   1.2527e+05
  2.4922e+00   2.6625e+00   9.6734e-01   7.1801e-01   6.5247e-03   7.9241e+04   3.9736e+05
  4.4721e+00   4.7794e+00   1.5528e+00   7.1650e-01   5.3746e-03   2.5167e+05   1.2620e+06
  8.0249e+00   8.5855e+00   2.1387e+00   7.1583e-01   5.6691e-03   8.0382e+05   4.0308e+06
  1.4400e+01   1.5417e+01   2.7240e+00   7.1466e-01   5.4426e-03   2.5620e+06   1.2847e+07
  2.5840e+01   2.7674e+01   3.3089e+00   7.1456e-01   5.4987e-03   8.1488e+06   4.0863e+07
  4.6368e+01   4.9661e+01   3.8935e+00   7.1394e-01   5.5435e-03   2.5815e+07   1.2945e+08
  8.3204e+01   8.9073e+01   4.4776e+00   7.1391e-01   5.4747e-03   8.1197e+07   4.0717e+08
  1.4930e+02   1.5974e+02   5.0616e+00   7.1464e-01   5.3298e-03   2.5161e+08   1.2617e+09
