## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4328e-01  -1.9557e+00   8.1644e-02   2.7576e-03   1.0323e+04   8.4841e+04
  2.4037e-01   2.5683e-01  -1.3717e+00   7.4893e-02   1.5497e-03   3.2687e+04   2.6885e+05
  4.3133e-01   4.6070e-01  -7.8673e-01   7.6636e-02   8.2692e-04   1.0342e+05   8.5088e+05
  7.7400e-01   8.2649e-01  -2.0168e-01   7.6464e-02   4.9551e-04   3.2638e+05   2.6857e+06
  1.3889e+00   1.4847e+00   3.8448e-01   7.5813e-02   3.7230e-04   1.0312e+06   8.4861e+06
  2.4922e+00   2.6673e+00   9.7034e-01   7.5682e-02   2.4709e-04   3.2505e+06   2.6752e+07
  4.4721e+00   4.7899e+00   1.5557e+00   7.5646e-02   1.6227e-04   1.0295e+07   8.4722e+07
  8.0249e+00   8.6000e+00   2.1407e+00   7.5616e-02   1.1018e-04   3.2734e+07   2.6939e+08
  1.4400e+01   1.5434e+01   2.7252e+00   7.5626e-02   1.0577e-04   1.0402e+08   8.5606e+08
  2.5840e+01   2.7696e+01   3.3098e+00   7.5648e-02   9.3769e-05   3.3059e+08   2.7207e+09
  4.6368e+01   4.9700e+01   3.8943e+00   7.5646e-02   8.8212e-05   1.0490e+09   8.6331e+09
  8.3204e+01   8.9146e+01   4.4784e+00   7.5661e-02   7.6859e-05   3.3146e+09   2.7278e+10
  1.4930e+02   1.5987e+02   5.0624e+00   7.5647e-02   6.6850e-05   1.0355e+10   8.5217e+10
