## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4458e-01  -1.9468e+00   2.2846e-01   3.6988e-02   1.7716e+02   1.6950e+03
  2.4037e-01   2.5827e-01  -1.3665e+00   1.3493e-01   6.7690e-03   6.9215e+02   6.6180e+03
  4.3133e-01   4.6137e-01  -7.8642e-01   2.9074e-02   4.9345e-03   2.2162e+03   2.1222e+04
  7.7400e-01   8.2740e-01  -2.0210e-01   1.8745e-02   3.9363e-03   6.8816e+03   6.5864e+04
  1.3889e+00   1.4843e+00   3.8271e-01   4.1418e-03   2.0369e-03   2.1753e+04   2.0822e+05
  2.4922e+00   2.6633e+00   9.6777e-01   3.6547e-03   1.8278e-03   6.8747e+04   6.5771e+05
  4.4721e+00   4.7819e+00   1.5534e+00   2.4221e-03   7.9346e-04   2.1781e+05   2.0834e+06
  8.0249e+00   8.5873e+00   2.1390e+00   2.5023e-03   4.6050e-04   6.9374e+05   6.6356e+06
  1.4400e+01   1.5419e+01   2.7243e+00   1.8941e-03   3.4131e-04   2.2091e+06   2.1130e+07
  2.5840e+01   2.7677e+01   3.3091e+00   1.5535e-03   3.6985e-04   7.0212e+06   6.7154e+07
  4.6368e+01   4.9673e+01   3.8937e+00   1.3195e-03   3.0983e-04   2.2244e+07   2.1274e+08
  8.3204e+01   8.9095e+01   4.4779e+00   1.1762e-03   3.2885e-04   7.0042e+07   6.6992e+08
  1.4930e+02   1.5978e+02   5.0619e+00   1.1185e-03   3.1938e-04   2.1744e+08   2.0798e+09
