## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4338e-01  -1.9552e+00   5.2576e-02   5.0542e-03   5.8810e+03   5.6155e+04
  2.4037e-01   2.5712e-01  -1.3710e+00   4.2892e-02   4.1285e-03   1.8762e+04   1.7936e+05
  4.3133e-01   4.6105e-01  -7.8675e-01   4.5209e-02   2.9241e-03   5.9249e+04   5.6658e+05
  7.7400e-01   8.2647e-01  -2.0261e-01   4.5620e-02   3.3262e-03   1.8701e+05   1.7881e+06
  1.3889e+00   1.4834e+00   3.8284e-01   4.5533e-02   3.3965e-03   5.9034e+05   5.6451e+06
  2.4922e+00   2.6645e+00   9.6878e-01   4.5698e-02   3.1691e-03   1.8670e+06   1.7851e+07
  4.4721e+00   4.7872e+00   1.5547e+00   4.5320e-02   3.2169e-03   5.9285e+06   5.6692e+07
  8.0249e+00   8.5955e+00   2.1399e+00   4.5581e-02   3.0806e-03   1.8863e+07   1.8038e+08
  1.4400e+01   1.5428e+01   2.7246e+00   4.5588e-02   3.0751e-03   6.0050e+07   5.7423e+08
  2.5840e+01   2.7690e+01   3.3093e+00   4.5534e-02   3.0769e-03   1.9106e+08   1.8271e+09
  4.6368e+01   4.9687e+01   3.8939e+00   4.5435e-02   3.0286e-03   6.0712e+08   5.8059e+09
  8.3204e+01   8.9146e+01   4.4784e+00   4.5313e-02   2.9566e-03   1.9232e+09   1.8391e+10
  1.4930e+02   1.5990e+02   5.0626e+00   4.5202e-02   2.8508e-03   6.0351e+09   5.7712e+10
