## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4332e-01  -1.9554e+00   7.4282e-02   6.7981e-04   3.4856e+05   2.8683e+06
  2.4037e-01   2.5690e-01  -1.3714e+00   7.5540e-02   2.6609e-04   1.1104e+06   9.1361e+06
  4.3133e-01   4.6071e-01  -7.8671e-01   7.5414e-02   2.3206e-04   3.5204e+06   2.8967e+07
  7.7400e-01   8.2701e-01  -2.0120e-01   7.5673e-02   1.2946e-04   1.1123e+07   9.1537e+07
  1.3889e+00   1.4854e+00   3.8460e-01   7.5601e-02   1.3262e-04   3.5094e+07   2.8883e+08
  2.4922e+00   2.6680e+00   9.7017e-01   7.5611e-02   7.5218e-05   1.1073e+08   9.1128e+08
  4.4721e+00   4.7908e+00   1.5553e+00   7.5562e-02   8.6419e-05   3.5075e+08   2.8867e+09
  8.0249e+00   8.6003e+00   2.1402e+00   7.5565e-02   7.9785e-05   1.1152e+09   9.1778e+09
  1.4400e+01   1.5431e+01   2.7246e+00   7.5568e-02   8.1915e-05   3.5467e+09   2.9189e+10
  2.5840e+01   2.7690e+01   3.3092e+00   7.5568e-02   7.2543e-05   1.1269e+10   9.2741e+10
  4.6368e+01   4.9681e+01   3.8937e+00   7.5559e-02   7.6124e-05   3.5721e+10   2.9398e+11
  8.3204e+01   8.9119e+01   4.4780e+00   7.5557e-02   7.8068e-05   1.1258e+11   9.2653e+11
  1.4930e+02   1.5981e+02   5.0620e+00   7.5550e-02   6.4302e-05   3.4986e+11   2.8793e+12
