## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4337e-01  -1.9552e+00   4.9052e-02   4.9868e-03   6.7292e+03   5.6151e+04
  2.4037e-01   2.5712e-01  -1.3710e+00   3.9255e-02   4.1192e-03   2.1471e+04   1.7938e+05
  4.3133e-01   4.6105e-01  -7.8676e-01   4.1688e-02   2.8644e-03   6.7795e+04   5.6650e+05
  7.7400e-01   8.2649e-01  -2.0258e-01   4.1943e-02   3.3430e-03   2.1404e+05   1.7884e+06
  1.3889e+00   1.4835e+00   3.8287e-01   4.1660e-02   3.3321e-03   6.7553e+05   5.6451e+06
  2.4922e+00   2.6645e+00   9.6880e-01   4.2102e-02   3.1359e-03   2.1365e+06   1.7852e+07
  4.4721e+00   4.7871e+00   1.5547e+00   4.1586e-02   3.1425e-03   6.7837e+06   5.6688e+07
  8.0249e+00   8.5955e+00   2.1399e+00   4.1890e-02   3.0496e-03   2.1586e+07   1.8039e+08
  1.4400e+01   1.5428e+01   2.7246e+00   4.1908e-02   3.0232e-03   6.8716e+07   5.7423e+08
  2.5840e+01   2.7689e+01   3.3093e+00   4.1849e-02   3.0382e-03   2.1863e+08   1.8270e+09
  4.6368e+01   4.9687e+01   3.8939e+00   4.1745e-02   2.9894e-03   6.9473e+08   5.8058e+09
  8.3204e+01   8.9146e+01   4.4784e+00   4.1646e-02   2.9146e-03   2.2008e+09   1.8391e+10
  1.4930e+02   1.5990e+02   5.0626e+00   4.1527e-02   2.8083e-03   6.9061e+09   5.7711e+10
