## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4332e-01  -1.9554e+00   6.9176e-02   6.6701e-04   3.9696e+05   2.8685e+06
  2.4037e-01   2.5689e-01  -1.3714e+00   7.0494e-02   2.7847e-04   1.2644e+06   9.1355e+06
  4.3133e-01   4.6071e-01  -7.8671e-01   7.0361e-02   2.3170e-04   4.0090e+06   2.8967e+07
  7.7400e-01   8.2700e-01  -2.0120e-01   7.0602e-02   1.3327e-04   1.2667e+07   9.1536e+07
  1.3889e+00   1.4854e+00   3.8460e-01   7.0547e-02   1.3059e-04   3.9964e+07   2.8883e+08
  2.4922e+00   2.6680e+00   9.7017e-01   7.0572e-02   7.3300e-05   1.2609e+08   9.1129e+08
  4.4721e+00   4.7908e+00   1.5553e+00   7.0504e-02   8.5645e-05   3.9942e+08   2.8867e+09
  8.0249e+00   8.6003e+00   2.1402e+00   7.0508e-02   7.6836e-05   1.2699e+09   9.1778e+09
  1.4400e+01   1.5431e+01   2.7246e+00   7.0520e-02   7.9589e-05   4.0389e+09   2.9189e+10
  2.5840e+01   2.7690e+01   3.3092e+00   7.0516e-02   6.9274e-05   1.2833e+10   9.2741e+10
  4.6368e+01   4.9681e+01   3.8937e+00   7.0508e-02   7.3052e-05   4.0678e+10   2.9398e+11
  8.3204e+01   8.9119e+01   4.4780e+00   7.0506e-02   7.3969e-05   1.2820e+11   9.2653e+11
  1.4930e+02   1.5981e+02   5.0620e+00   7.0501e-02   6.1571e-05   3.9841e+11   2.8793e+12
