## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4326e-01  -1.9561e+00   2.6717e-01   6.8871e-03   4.5744e+03   4.3442e+04
  2.4037e-01   2.5713e-01  -1.3710e+00   2.6070e-01   2.5396e-03   1.4525e+04   1.3771e+05
  4.3133e-01   4.6099e-01  -7.8696e-01   2.6433e-01   3.6356e-03   4.5987e+04   4.3629e+05
  7.7400e-01   8.2649e-01  -2.0278e-01   2.6457e-01   2.9599e-03   1.4508e+05   1.3756e+06
  1.3889e+00   1.4828e+00   3.8219e-01   2.6489e-01   3.3451e-03   4.5708e+05   4.3348e+06
  2.4922e+00   2.6638e+00   9.6838e-01   2.6448e-01   3.2969e-03   1.4447e+06   1.3700e+07
  4.4721e+00   4.7858e+00   1.5543e+00   2.6408e-01   3.3654e-03   4.5832e+06   4.3464e+07
  8.0249e+00   8.5944e+00   2.1397e+00   2.6414e-01   3.2563e-03   1.4583e+07   1.3829e+08
  1.4400e+01   1.5425e+01   2.7244e+00   2.6432e-01   3.2865e-03   4.6385e+07   4.3989e+08
  2.5840e+01   2.7684e+01   3.3091e+00   2.6426e-01   3.2947e-03   1.4743e+08   1.3982e+09
  4.6368e+01   4.9670e+01   3.8936e+00   2.6405e-01   3.3053e-03   4.6726e+08   4.4314e+09
  8.3204e+01   8.9108e+01   4.4779e+00   2.6376e-01   3.2755e-03   1.4730e+09   1.3970e+10
  1.4930e+02   1.5980e+02   5.0619e+00   2.6342e-01   3.2969e-03   4.5758e+09   4.3399e+10
