## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4827e-01  -1.9201e+00   2.5354e-01   3.2632e-02   3.3696e+02   3.7270e+03
  2.4037e-01   2.5731e-01  -1.3703e+00   8.5025e-02   9.1487e-03   1.4425e+03   1.5869e+04
  4.3133e-01   4.6145e-01  -7.8615e-01   1.7317e-02   4.2979e-03   4.6205e+03   5.0934e+04
  7.7400e-01   8.2774e-01  -2.0156e-01   6.4222e-03   3.8328e-03   1.4395e+04   1.5856e+05
  1.3889e+00   1.4842e+00   3.8277e-01   3.9530e-03   1.1299e-03   4.5645e+04   5.0329e+05
  2.4922e+00   2.6635e+00   9.6787e-01   3.9181e-03   8.8972e-04   1.4476e+05   1.5953e+06
  4.4721e+00   4.7833e+00   1.5536e+00   2.6893e-03   9.1027e-04   4.6142e+05   5.0840e+06
  8.0249e+00   8.5910e+00   2.1392e+00   2.3326e-03   6.2561e-04   1.4726e+06   1.6224e+07
  1.4400e+01   1.5422e+01   2.7241e+00   1.3692e-03   4.8289e-04   4.6914e+06   5.1692e+07
  2.5840e+01   2.7675e+01   3.3088e+00   8.2539e-04   4.5568e-04   1.4928e+07   1.6447e+08
  4.6368e+01   4.9663e+01   3.8935e+00   5.9955e-04   4.4743e-04   4.7348e+07   5.2170e+08
  8.3204e+01   8.9092e+01   4.4778e+00   3.5310e-04   3.2998e-04   1.4916e+08   1.6436e+09
  1.4930e+02   1.5978e+02   5.0618e+00   6.1665e-04   3.0672e-04   4.6323e+08   5.1047e+09
