## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4344e-01  -1.9548e+00   1.6486e-01   9.2386e-03   1.9378e+03   2.1350e+04
  2.4037e-01   2.5727e-01  -1.3705e+00   1.5433e-01   4.7051e-03   6.1935e+03   6.8304e+04
  4.3133e-01   4.6132e-01  -7.8635e-01   1.5393e-01   3.4272e-03   1.9500e+04   2.1477e+05
  7.7400e-01   8.2656e-01  -2.0272e-01   1.5792e-01   3.6481e-03   6.1470e+04   6.7748e+05
  1.3889e+00   1.4829e+00   3.8224e-01   1.5550e-01   3.6003e-03   1.9355e+05   2.1328e+06
  2.4922e+00   2.6628e+00   9.6808e-01   1.5626e-01   3.7630e-03   6.1127e+05   6.7355e+06
  4.4721e+00   4.7849e+00   1.5543e+00   1.5672e-01   3.4914e-03   1.9404e+06   2.1379e+07
  8.0249e+00   8.5933e+00   2.1398e+00   1.5612e-01   3.6046e-03   6.1773e+06   6.8068e+07
  1.4400e+01   1.5425e+01   2.7246e+00   1.5644e-01   3.4936e-03   1.9653e+07   2.1656e+08
  2.5840e+01   2.7687e+01   3.3093e+00   1.5649e-01   3.5087e-03   6.2449e+07   6.8811e+08
  4.6368e+01   4.9675e+01   3.8937e+00   1.5634e-01   3.5413e-03   1.9792e+08   2.1808e+09
  8.3204e+01   8.9115e+01   4.4780e+00   1.5614e-01   3.5395e-03   6.2393e+08   6.8751e+09
  1.4930e+02   1.5980e+02   5.0619e+00   1.5580e-01   3.4169e-03   1.9384e+09   2.1360e+10
