## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4341e-01  -1.9549e+00   3.6878e-01   2.4682e-03   2.6232e+04   2.0561e+05
  2.4037e-01   2.5689e-01  -1.3717e+00   3.6816e-01   1.3518e-03   8.2974e+04   6.5048e+05
  4.3133e-01   4.6055e-01  -7.8733e-01   3.6830e-01   5.8048e-04   2.6281e+05   2.0602e+06
  7.7400e-01   8.2617e-01  -2.0231e-01   3.6804e-01   3.5398e-04   8.2844e+05   6.4941e+06
  1.3889e+00   1.4841e+00   3.8381e-01   3.6865e-01   3.6800e-04   2.6180e+06   2.0522e+07
  2.4922e+00   2.6666e+00   9.6989e-01   3.6840e-01   2.3557e-04   8.2596e+06   6.4748e+07
  4.4721e+00   4.7892e+00   1.5554e+00   3.6817e-01   1.7118e-04   2.6167e+07   2.0513e+08
  8.0249e+00   8.5987e+00   2.1404e+00   3.6815e-01   1.7136e-04   8.3205e+07   6.5225e+08
  1.4400e+01   1.5431e+01   2.7249e+00   3.6817e-01   1.4229e-04   2.6448e+08   2.0733e+09
  2.5840e+01   2.7695e+01   3.3095e+00   3.6821e-01   1.3534e-04   8.4045e+08   6.5884e+09
  4.6368e+01   4.9684e+01   3.8938e+00   3.6821e-01   1.2396e-04   2.6614e+09   2.0863e+10
  8.3204e+01   8.9121e+01   4.4781e+00   3.6815e-01   1.2960e-04   8.3854e+09   6.5734e+10
  1.4930e+02   1.5980e+02   5.0619e+00   3.6812e-01   1.1131e-04   2.6027e+10   2.0403e+11
