## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8421e-01  -1.2702e+00   3.6927e-01   1.9487e-03   2.5162e+04   1.9723e+05
  4.7427e-01   5.0541e-01  -6.9396e-01   3.6930e-01   8.2244e-04   7.8221e+04   6.1320e+05
  8.4339e-01   8.9847e-01  -1.1800e-01   3.6815e-01   5.3748e-04   2.4179e+05   1.8953e+06
  1.4998e+00   1.5994e+00   4.5908e-01   3.6900e-01   3.4573e-04   7.5033e+05   5.8819e+06
  2.6670e+00   2.8479e+00   1.0362e+00   3.6840e-01   2.0443e-04   2.3235e+06   1.8215e+07
  4.7427e+00   5.0688e+00   1.6126e+00   3.6818e-01   2.0562e-04   7.2347e+06   5.6714e+07
  8.4339e+00   9.0191e+00   2.1887e+00   3.6798e-01   1.5389e-04   2.2596e+07   1.7713e+08
  1.4998e+01   1.6040e+01   2.7642e+00   3.6817e-01   1.3942e-04   7.0509e+07   5.5273e+08
  2.6670e+01   2.8528e+01   3.3397e+00   3.6821e-01   1.1269e-04   2.2000e+08   1.7246e+09
  4.7427e+01   5.0726e+01   3.9150e+00   3.6817e-01   1.2744e-04   6.8365e+08   5.3592e+09
  8.4339e+01   9.0164e+01   4.4901e+00   3.6814e-01   1.3015e-04   2.1123e+09   1.6559e+10
  1.4998e+02   1.6019e+02   5.0647e+00   3.6811e-01   1.2045e-04   6.4244e+09   5.0362e+10
