## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8435e-01  -1.2697e+00   3.6807e-01   4.8889e-04   4.1572e+05   3.2588e+06
  4.7427e-01   5.0539e-01  -6.9398e-01   3.6829e-01   3.8515e-04   1.2920e+06   1.0128e+07
  8.4339e-01   8.9889e-01  -1.1763e-01   3.6841e-01   2.3039e-04   4.0088e+06   3.1425e+07
  1.4998e+00   1.6003e+00   4.5936e-01   3.6800e-01   1.6785e-04   1.2432e+07   9.7457e+07
  2.6670e+00   2.8489e+00   1.0361e+00   3.6817e-01   1.1808e-04   3.8564e+07   3.0231e+08
  4.7427e+00   5.0697e+00   1.6123e+00   3.6807e-01   1.4394e-04   1.2008e+08   9.4130e+08
  8.4339e+00   9.0197e+00   2.1882e+00   3.6809e-01   1.3526e-04   3.7517e+08   2.9410e+09
  1.4998e+01   1.6040e+01   2.7636e+00   3.6812e-01   1.3658e-04   1.1720e+09   9.1872e+09
  2.6670e+01   2.8520e+01   3.3391e+00   3.6814e-01   1.2559e-04   3.6570e+09   2.8668e+10
  4.7427e+01   5.0719e+01   3.9147e+00   3.6812e-01   1.2555e-04   1.1393e+10   8.9308e+10
  8.4339e+01   9.0162e+01   4.4900e+00   3.6812e-01   1.1759e-04   3.5257e+10   2.7638e+11
  1.4998e+02   1.6020e+02   5.0647e+00   3.6810e-01   1.0708e-04   1.0755e+11   8.4307e+11
