## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9553e+00   3.2550e-01   4.9366e-04   1.0295e+05   8.4876e+05
  2.4037e-01   2.5696e-01  -1.3713e+00   3.2618e-01   5.9386e-04   3.2752e+05   2.7007e+06
  4.3133e-01   4.6061e-01  -7.8721e-01   3.2589e-01   3.9010e-04   1.0369e+06   8.5509e+06
  7.7400e-01   8.2650e-01  -2.0200e-01   3.2596e-01   1.5577e-04   3.2724e+06   2.6985e+07
  1.3889e+00   1.4846e+00   3.8399e-01   3.2596e-01   1.7338e-04   1.0335e+07   8.5227e+07
  2.4922e+00   2.6672e+00   9.6988e-01   3.2598e-01   1.8589e-04   3.2628e+07   2.6907e+08
  4.4721e+00   4.7896e+00   1.5552e+00   3.2605e-01   1.2555e-04   1.0339e+08   8.5260e+08
  8.0249e+00   8.5991e+00   2.1401e+00   3.2608e-01   1.2126e-04   3.2875e+08   2.7110e+09
  1.4400e+01   1.5431e+01   2.7246e+00   3.2606e-01   1.2145e-04   1.0456e+09   8.6221e+09
  2.5840e+01   2.7687e+01   3.3091e+00   3.2606e-01   1.1452e-04   3.3219e+09   2.7394e+10
  4.6368e+01   4.9684e+01   3.8938e+00   3.2607e-01   1.1990e-04   1.0536e+10   8.6886e+10
  8.3204e+01   8.9126e+01   4.4781e+00   3.2606e-01   1.2056e-04   3.3201e+10   2.7379e+11
  1.4930e+02   1.5979e+02   5.0618e+00   3.2603e-01   1.0727e-04   1.0308e+11   8.5004e+11
