## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8486e-01  -1.2683e+00   1.4737e-01   3.6993e-03   8.1654e+03   8.1750e+04
  4.7427e-01   5.0590e-01  -6.9368e-01   1.5180e-01   3.3294e-03   2.5398e+04   2.5417e+05
  8.4339e-01   8.9880e-01  -1.1857e-01   1.5289e-01   3.3695e-03   7.8625e+04   7.8749e+05
  1.4998e+00   1.5980e+00   4.5742e-01   1.5195e-01   3.6722e-03   2.4341e+05   2.4368e+06
  2.6670e+00   2.8446e+00   1.0345e+00   1.5235e-01   3.2973e-03   7.5631e+05   7.5709e+06
  4.7427e+00   5.0647e+00   1.6114e+00   1.5206e-01   3.1725e-03   2.3594e+06   2.3621e+07
  8.4339e+00   9.0141e+00   2.1879e+00   1.5208e-01   3.0381e-03   7.3756e+06   7.3842e+07
  1.4998e+01   1.6035e+01   2.7636e+00   1.5226e-01   3.1887e-03   2.3051e+07   2.3077e+08
  2.6670e+01   2.8521e+01   3.3393e+00   1.5228e-01   3.1964e-03   7.1933e+07   7.2016e+08
  4.7427e+01   5.0710e+01   3.9147e+00   1.5214e-01   3.2396e-03   2.2390e+08   2.2416e+09
  8.4339e+01   9.0152e+01   4.4899e+00   1.5186e-01   3.2237e-03   6.9326e+08   6.9410e+09
  1.4998e+02   1.6021e+02   5.0648e+00   1.5151e-01   3.1357e-03   2.1159e+09   2.1186e+10
