## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4341e-01  -1.9549e+00   4.2772e-01   2.4764e-03   3.0009e+04   2.0562e+05
  2.4037e-01   2.5689e-01  -1.3717e+00   4.2691e-01   1.3959e-03   9.4907e+04   6.5047e+05
  4.3133e-01   4.6056e-01  -7.8732e-01   4.2690e-01   6.0935e-04   3.0063e+05   2.0603e+06
  7.7400e-01   8.2620e-01  -2.0229e-01   4.2693e-01   3.6981e-04   9.4773e+05   6.4949e+06
  1.3889e+00   1.4841e+00   3.8381e-01   4.2748e-01   3.6062e-04   2.9944e+06   2.0521e+07
  2.4922e+00   2.6666e+00   9.6988e-01   4.2723e-01   2.3996e-04   9.4475e+06   6.4747e+07
  4.4721e+00   4.7892e+00   1.5553e+00   4.2700e-01   1.7661e-04   2.9931e+07   2.0513e+08
  8.0249e+00   8.5987e+00   2.1404e+00   4.2694e-01   1.7780e-04   9.5176e+07   6.5227e+08
  1.4400e+01   1.5432e+01   2.7249e+00   4.2700e-01   1.4464e-04   3.0252e+08   2.0733e+09
  2.5840e+01   2.7695e+01   3.3095e+00   4.2702e-01   1.4629e-04   9.6133e+08   6.5883e+09
  4.6368e+01   4.9684e+01   3.8938e+00   4.2703e-01   1.3031e-04   3.0442e+09   2.0863e+10
  8.3204e+01   8.9121e+01   4.4781e+00   4.2696e-01   1.3577e-04   9.5916e+09   6.5735e+10
  1.4930e+02   1.5980e+02   5.0619e+00   4.2693e-01   1.1765e-04   2.9770e+10   2.0402e+11
