## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4348e-01  -1.9545e+00   3.0317e-01   7.9044e-03   2.6773e+03   2.1352e+04
  2.4037e-01   2.5727e-01  -1.3705e+00   2.9503e-01   4.8125e-03   8.5628e+03   6.8302e+04
  4.3133e-01   4.6132e-01  -7.8632e-01   2.9357e-01   3.6338e-03   2.6947e+04   2.1473e+05
  7.7400e-01   8.2657e-01  -2.0267e-01   2.9717e-01   3.4076e-03   8.4985e+04   6.7741e+05
  1.3889e+00   1.4828e+00   3.8224e-01   2.9391e-01   3.2499e-03   2.6758e+05   2.1327e+06
  2.4922e+00   2.6628e+00   9.6807e-01   2.9472e-01   3.3659e-03   8.4500e+05   6.7353e+06
  4.4721e+00   4.7850e+00   1.5543e+00   2.9495e-01   3.2763e-03   2.6824e+06   2.1381e+07
  8.0249e+00   8.5933e+00   2.1398e+00   2.9470e-01   3.4022e-03   8.5395e+06   6.8066e+07
  1.4400e+01   1.5425e+01   2.7246e+00   2.9493e-01   3.3475e-03   2.7171e+07   2.1657e+08
  2.5840e+01   2.7687e+01   3.3093e+00   2.9488e-01   3.3605e-03   8.6335e+07   6.8813e+08
  4.6368e+01   4.9677e+01   3.8937e+00   2.9471e-01   3.3645e-03   2.7363e+08   2.1810e+09
  8.3204e+01   8.9116e+01   4.4780e+00   2.9452e-01   3.3854e-03   8.6256e+08   6.8750e+09
  1.4930e+02   1.5980e+02   5.0620e+00   2.9424e-01   3.2652e-03   2.6799e+09   2.1361e+10
