## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9553e+00   4.2600e-01   8.7003e-04   1.2383e+05   8.4864e+05
  2.4037e-01   2.5694e-01  -1.3714e+00   4.2715e-01   6.1894e-04   3.9396e+05   2.6999e+06
  4.3133e-01   4.6056e-01  -7.8729e-01   4.2673e-01   4.3807e-04   1.2474e+06   8.5490e+06
  7.7400e-01   8.2645e-01  -2.0203e-01   4.2680e-01   1.7631e-04   3.9372e+06   2.6983e+07
  1.3889e+00   1.4846e+00   3.8400e-01   4.2689e-01   1.9592e-04   1.2436e+07   8.5230e+07
  2.4922e+00   2.6672e+00   9.6989e-01   4.2688e-01   1.7735e-04   3.9262e+07   2.6908e+08
  4.4721e+00   4.7896e+00   1.5552e+00   4.2692e-01   1.4733e-04   1.2440e+08   8.5258e+08
  8.0249e+00   8.5991e+00   2.1401e+00   4.2695e-01   1.4555e-04   3.9558e+08   2.7110e+09
  1.4400e+01   1.5431e+01   2.7246e+00   4.2695e-01   1.4072e-04   1.2581e+09   8.6220e+09
  2.5840e+01   2.7687e+01   3.3091e+00   4.2694e-01   1.3518e-04   3.9971e+09   2.7394e+10
  4.6368e+01   4.9684e+01   3.8938e+00   4.2695e-01   1.3071e-04   1.2678e+10   8.6886e+10
  8.3204e+01   8.9126e+01   4.4781e+00   4.2694e-01   1.2405e-04   3.9950e+10   2.7379e+11
  1.4930e+02   1.5979e+02   5.0618e+00   4.2692e-01   1.1065e-04   1.2403e+11   8.5004e+11
