## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4813e-01  -1.9211e+00   5.9441e-01   2.3856e-02   4.6698e+02   3.7280e+03
  2.4037e-01   2.5734e-01  -1.3702e+00   3.8010e-01   7.2774e-03   1.9885e+03   1.5859e+04
  4.3133e-01   4.6147e-01  -7.8607e-01   3.1457e-01   4.2156e-03   6.3896e+03   5.0928e+04
  7.7400e-01   8.2774e-01  -2.0151e-01   3.0411e-01   3.3706e-03   1.9901e+04   1.5857e+05
  1.3889e+00   1.4840e+00   3.8266e-01   3.0034e-01   3.5381e-03   6.3102e+04   5.0305e+05
  2.4922e+00   2.6634e+00   9.6788e-01   2.9951e-01   3.2222e-03   2.0014e+05   1.5955e+06
  4.4721e+00   4.7835e+00   1.5537e+00   2.9749e-01   3.5021e-03   6.3788e+05   5.0845e+06
  8.0249e+00   8.5909e+00   2.1392e+00   2.9663e-01   3.1795e-03   2.0352e+06   1.6222e+07
  1.4400e+01   1.5422e+01   2.7242e+00   2.9640e-01   3.1858e-03   6.4853e+06   5.1695e+07
  2.5840e+01   2.7676e+01   3.3089e+00   2.9575e-01   3.2200e-03   2.0634e+07   1.6447e+08
  4.6368e+01   4.9664e+01   3.8935e+00   2.9538e-01   3.2790e-03   6.5451e+07   5.2170e+08
  8.3204e+01   8.9093e+01   4.4778e+00   2.9495e-01   3.2605e-03   2.0621e+08   1.6437e+09
  1.4930e+02   1.5978e+02   5.0618e+00   2.9491e-01   3.1816e-03   6.4045e+08   5.1049e+09
